chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
1588 scaffold_121 366022 366033 - JGI_V11_329544 364365 366218 12 - 974 -0.882169778772826 scaffold_121_366022_366033_-
1588.1 scaffold_121 366022 366033 - JGI_V11_259242 365747 366492 12 - 974 -1.38103033902279 scaffold_121_366022_366033_-
1589 scaffold_121 372718 372772 - JGI_V11_329548 370756 373243 55 - 6490 0.491986802537326 scaffold_121_372718_372772_-
1591 scaffold_122 252668 252672 - JGI_V11_329565 243050 253119 5 - 3619 0.469227377670091 scaffold_122_252668_252672_-
1592 scaffold_123 51473 51474 + JGI_V11_301229 50670 54583 2 + 1240 0.36256200176469 scaffold_123_51473_51474_+
1593 scaffold_123 63076 63086 + JGI_V11_329596 62584 63661 11 + 74895 0.0403794941204176 scaffold_123_63076_63086_+
1594 scaffold_123 71736 71743 + JGI_V11_329602 71081 72109 8 + 843 -0.917107760384939 scaffold_123_71736_71743_+
1597 scaffold_123 173394 173395 + JGI_V11_301239 173034 177421 2 + 1296 0.573056856988488 scaffold_123_173394_173395_+
1598 scaffold_123 173532 173537 + JGI_V11_301239 173034 177421 6 + 5248 0.573056856988488 scaffold_123_173532_173537_+
1599 scaffold_123 175843 175844 + JGI_V11_301239 173034 177421 2 + 507 0.573056856988488 scaffold_123_175843_175844_+
1601 scaffold_123 264190 264191 + JGI_V11_62811 264045 277059 2 + 232 -2.73089192356015 scaffold_123_264190_264191_+
1602 scaffold_123 353584 353585 + JGI_V11_329620 353444 359158 2 + 446 0.635567103018713 scaffold_123_353584_353585_+
1603 scaffold_123 355560 355561 + JGI_V11_329620 353444 359158 2 + 375 0.635567103018713 scaffold_123_355560_355561_+
1606 scaffold_123 55911 55922 - JGI_V11_329592 55142 56659 12 - 912 0.474475310595996 scaffold_123_55911_55922_-
1607 scaffold_123 56077 56084 - JGI_V11_329592 55142 56659 8 - 990 0.474475310595996 scaffold_123_56077_56084_-
1608 scaffold_123 58737 58738 - JGI_V11_114114 57709 58980 2 - 4083 -0.77256602862401 scaffold_123_58737_58738_-
1609 scaffold_123 60820 60829 - JGI_V11_228845 60277 61325 10 - 104355 -2.49437561413436 scaffold_123_60820_60829_-
1610 scaffold_123 69527 69528 - JGI_V11_329600 68731 69848 2 - 1894 -1.14955115153602 scaffold_123_69527_69528_-
1610.1 scaffold_123 69527 69528 - JGI_V11_329601 69351 70636 2 - 1894 -2.03595772254568 scaffold_123_69527_69528_-
1611 scaffold_123 78396 78413 - JGI_V11_301236 77316 79304 18 - 8408 -1.47920780122809 scaffold_123_78396_78413_-
1612 scaffold_123 84455 84456 - JGI_V11_329609 83924 85432 2 - 292 -2.17134795084312 scaffold_123_84455_84456_-
1614 scaffold_125 94008 94014 + JGI_V11_218141 93960 96846 7 + 5298 -0.262907875502632 scaffold_125_94008_94014_+
1616 scaffold_125 124952 124955 - JGI_V11_329673 124387 125609 4 - 705 -0.577129936142454 scaffold_125_124952_124955_-
1617 scaffold_125 125154 125158 - JGI_V11_329673 124387 125609 5 - 6347 -0.577129936142454 scaffold_125_125154_125158_-
1618 scaffold_126 74728 74733 + JGI_V11_259577 74053 76350 6 + 1532 -0.563739192271765 scaffold_126_74728_74733_+
1619 scaffold_126 148091 148094 + JGI_V11_259592 140969 149805 4 + 1379 0.381078991161948 scaffold_126_148091_148094_+
1620 scaffold_126 104014 104015 - JGI_V11_301251 100663 104515 2 - 2464 1.54059035455375 scaffold_126_104014_104015_-
1623 scaffold_127 356614 356619 + JGI_V11_329822 356464 358509 6 + 463 -1.86151207864228 scaffold_127_356614_356619_+
1624 scaffold_1272 7422 7423 - JGI_V11_120249 3292 7681 2 - 289 0.323502299598479 scaffold_1272_7422_7423_-
1625 scaffold_1272 9370 9371 - JGI_V11_301263 8089 9655 2 - 812 0.328709680869631 scaffold_1272_9370_9371_-
1626 scaffold_128 107078 107079 + JGI_V11_259745 102085 108700 2 + 488 -2.1775688741273 scaffold_128_107078_107079_+
1629 scaffold_12844 546 556 + JGI_V11_72874 137 1076 11 + 2301 -0.184524599514706 scaffold_12844_546_556_+
1635 scaffold_129 60239 60244 + JGI_V11_301273 59742 61831 6 + 2817 -2.03855506993041 scaffold_129_60239_60244_+
1636 scaffold_129 242448 242460 + JGI_V11_228895 241917 243902 13 + 795 0.303012410016365 scaffold_129_242448_242460_+
1638 scaffold_129 55898 55916 - JGI_V11_301272 53363 56460 19 - 2788 0.624669660495562 scaffold_129_55898_55916_-
1639 scaffold_129 253119 253124 - JGI_V11_301280 249614 253624 6 - 1189 0.252186939619577 scaffold_129_253119_253124_-
1641 scaffold_129 259711 259712 - JGI_V11_62934 257947 260057 2 - 1496 0.921659173317389 scaffold_129_259711_259712_-
1642 scaffold_129 259989 259992 - JGI_V11_62934 257947 260057 4 - 18053 0.921659173317389 scaffold_129_259989_259992_-
1643 scaffold_129 260023 260033 - JGI_V11_62934 257947 260057 11 - 16291 0.921659173317389 scaffold_129_260023_260033_-
1645 scaffold_1291 10476 10485 - JGI_V11_270484 7166 10823 10 - 1394 -2.20564595513354 scaffold_1291_10476_10485_-
1646 scaffold_13 88947 88950 + JGI_V11_239037 87287 90901 4 + 2921 -1.96077059662997 scaffold_13_88947_88950_+
1647 scaffold_13 142374 142378 + JGI_V11_223022 141874 143066 5 + 2464 -2.07566692364647 scaffold_13_142374_142378_+
1648 scaffold_13 144105 144106 + JGI_V11_99762 143671 144710 2 + 1405 -2.24665933899063 scaffold_13_144105_144106_+
1649 scaffold_13 148784 148791 + JGI_V11_194525 148288 151324 8 + 5432 0.898137884268688 scaffold_13_148784_148791_+
1650 scaffold_13 150189 150190 + JGI_V11_194525 148288 151324 2 + 426 0.898137884268688 scaffold_13_150189_150190_+
1651 scaffold_13 167545 167553 + JGI_V11_239059 166997 167994 9 + 774 -2.30930929579125 scaffold_13_167545_167553_+
1652 scaffold_13 234304 234312 + JGI_V11_239076 233851 235647 9 + 90998 -2.3376106469908 scaffold_13_234304_234312_+
1653 scaffold_13 234365 234368 + JGI_V11_239076 233851 235647 4 + 2805 -2.3376106469908 scaffold_13_234365_234368_+
1654 scaffold_13 243742 243745 + JGI_V11_314974 239521 244528 4 + 10842 1.32752664815753 scaffold_13_243742_243745_+
1655 scaffold_13 245395 245396 + JGI_V11_209641 244980 250316 2 + 4669 -0.855345870499536 scaffold_13_245395_245396_+
1656 scaffold_13 277600 277615 + JGI_V11_209648 273697 280108 16 + 1615 -0.543813103711674 scaffold_13_277600_277615_+
1658 scaffold_13 310991 310992 + JGI_V11_314983 310544 311905 2 + 1004 -2.99008749969624 scaffold_13_310991_310992_+
1659 scaffold_13 315177 315243 + JGI_V11_99798 314508 316439 67 + 18174 -1.94127505634901 scaffold_13_315177_315243_+
1660 scaffold_13 320581 320582 + JGI_V11_314986 319482 321534 2 + 521 -1.7055586362902 scaffold_13_320581_320582_+
1661 scaffold_13 320788 320809 + JGI_V11_314986 319482 321534 22 + 502 -1.7055586362902 scaffold_13_320788_320809_+
1663 scaffold_13 351612 351617 + JGI_V11_223037 351094 352560 6 + 4995 -1.47623780768176 scaffold_13_351612_351617_+
1664 scaffold_13 446046 446058 + JGI_V11_47355 445585 448169 13 + 1803 -1.2147567203892 scaffold_13_446046_446058_+
1665 scaffold_13 450910 450914 + JGI_V11_99823 450456 451444 5 + 7441 -2.04513133763704 scaffold_13_450910_450914_+
1666 scaffold_13 455911 455914 + JGI_V11_99826 455440 456489 4 + 239 -1.69096246419113 scaffold_13_455911_455914_+
1667 scaffold_13 492095 492117 + JGI_V11_301372 491710 496594 23 + 1994 -0.170465690624004 scaffold_13_492095_492117_+
1668 scaffold_13 499002 499005 + JGI_V11_194582 498502 500286 4 + 3784 -0.764737910030043 scaffold_13_499002_499005_+
1669 scaffold_13 499085 499086 + JGI_V11_194582 498502 500286 2 + 1019 -0.764737910030043 scaffold_13_499085_499086_+
1670 scaffold_13 507409 507503 + JGI_V11_223052 506912 509236 95 + 20786 -1.76492866543542 scaffold_13_507409_507503_+
1671 scaffold_13 515897 515910 + JGI_V11_194595 515382 520621 14 + 2542 -0.220898158845944 scaffold_13_515897_515910_+
1672 scaffold_13 522861 522862 + JGI_V11_239152 522510 528745 2 + 535 0.393563961773182 scaffold_13_522861_522862_+
1673 scaffold_13 529238 529246 + JGI_V11_315032 528739 530400 9 + 8929 0.913037437870494 scaffold_13_529238_529246_+
1674 scaffold_13 532978 532981 + JGI_V11_230622 532463 534165 4 + 2051 -1.65327488787156 scaffold_13_532978_532981_+
1677 scaffold_13 623244 623248 + JGI_V11_223070 622745 625225 5 + 6083 -1.55369233623515 scaffold_13_623244_623248_+
1679 scaffold_13 632616 632637 + JGI_V11_223071 632209 633637 22 + 625 0.396166613833509 scaffold_13_632616_632637_+
1680 scaffold_13 632878 632910 + JGI_V11_223071 632209 633637 33 + 5007 0.396166613833509 scaffold_13_632878_632910_+
1681 scaffold_13 633051 633052 + JGI_V11_223071 632209 633637 2 + 1421 0.396166613833509 scaffold_13_633051_633052_+
1682 scaffold_13 633248 633249 + JGI_V11_223071 632209 633637 2 + 925 0.396166613833509 scaffold_13_633248_633249_+
1683 scaffold_13 633281 633282 + JGI_V11_223071 632209 633637 2 + 1255 0.396166613833509 scaffold_13_633281_633282_+
1685 scaffold_13 710973 711003 + JGI_V11_230628 710474 712014 31 + 6385 -0.239001059797624 scaffold_13_710973_711003_+
1686 scaffold_13 711033 711038 + JGI_V11_230628 710474 712014 6 + 2878 -0.239001059797624 scaffold_13_711033_711038_+
1687 scaffold_13 738313 738318 + JGI_V11_315078 737860 739451 6 + 13846 -0.620460934732687 scaffold_13_738313_738318_+
1688 scaffold_13 738867 738880 + JGI_V11_315078 737860 739451 14 + 284 -0.620460934732687 scaffold_13_738867_738880_+
1689 scaffold_13 738992 739008 + JGI_V11_315078 737860 739451 17 + 1024 -0.620460934732687 scaffold_13_738992_739008_+
1690 scaffold_13 739192 739193 + JGI_V11_315078 737860 739451 2 + 270 -0.620460934732687 scaffold_13_739192_739193_+
1691 scaffold_13 768075 768082 + JGI_V11_239216 759600 772670 8 + 22299 0.221111461945912 scaffold_13_768075_768082_+
1692 scaffold_13 839777 839778 + JGI_V11_239229 839403 840660 2 + 1021 0.669936399088299 scaffold_13_839777_839778_+
1693 scaffold_13 839798 839874 + JGI_V11_239229 839403 840660 77 + 26560 0.669936399088299 scaffold_13_839798_839874_+
1694 scaffold_13 841085 841103 + JGI_V11_239230 840969 843128 19 + 2220 -0.493465800029019 scaffold_13_841085_841103_+
1695 scaffold_13 866106 866112 + JGI_V11_187801 865540 868207 7 + 1058 -0.451286402974314 scaffold_13_866106_866112_+
1698 scaffold_13 928136 928140 + JGI_V11_223104 927639 929398 5 + 9933 -0.973466943576651 scaffold_13_928136_928140_+
1699 scaffold_13 931983 931990 + JGI_V11_315116 931590 933074 8 + 61413 -3.06953286187737 scaffold_13_931983_931990_+
1700 scaffold_13 932235 932236 + JGI_V11_315116 931590 933074 2 + 811 -3.06953286187737 scaffold_13_932235_932236_+
1701 scaffold_13 946472 946474 + JGI_V11_315119 945947 947514 3 + 2123 -2.31793170595495 scaffold_13_946472_946474_+
1703 scaffold_13 1061483 1061484 + JGI_V11_194674 1061483 1064477 2 + 725 -1.40753128587094 scaffold_13_1061483_1061484_+
1704 scaffold_13 1061506 1061537 + JGI_V11_194674 1061483 1064477 32 + 4629 -1.40753128587094 scaffold_13_1061506_1061537_+
1705 scaffold_13 1142149 1142166 + JGI_V11_223127 1141683 1144737 18 + 1856 -0.807906676670418 scaffold_13_1142149_1142166_+
1706 scaffold_13 1148660 1148661 + JGI_V11_194691 1148472 1150349 2 + 1000 -1.53813682314007 scaffold_13_1148660_1148661_+
1707 scaffold_13 1152332 1152344 + JGI_V11_194694 1151829 1153208 13 + 1139 -1.35692820368645 scaffold_13_1152332_1152344_+
1708 scaffold_13 1205129 1205130 + JGI_V11_315157 1204716 1208539 2 + 955 2 scaffold_13_1205129_1205130_+
1710 scaffold_13 1278991 1278997 + JGI_V11_315171 1278502 1279933 7 + 18188 0.328526320658485 scaffold_13_1278991_1278997_+
1711 scaffold_13 1287992 1287993 + JGI_V11_315175 1287498 1289842 2 + 342 -0.0173192640389956 scaffold_13_1287992_1287993_+
1716 scaffold_13 1385970 1385971 + JGI_V11_315192 1385005 1386412 2 + 1370 -1.83989000189959 scaffold_13_1385970_1385971_+
1719 scaffold_13 1448695 1448704 + JGI_V11_315201 1448289 1451270 10 + 2638 0.121044136878149 scaffold_13_1448695_1448704_+
1720 scaffold_13 1480396 1480400 + JGI_V11_230642 1479948 1482445 5 + 7683 -0.489616843051066 scaffold_13_1480396_1480400_+
1721 scaffold_13 1484981 1484998 + JGI_V11_47484 1484555 1486020 18 + 1359 -0.561606666950975 scaffold_13_1484981_1484998_+
1722 scaffold_13 1494864 1494870 + JGI_V11_223164 1494464 1499118 7 + 1597 -1.0798259493768 scaffold_13_1494864_1494870_+
1723 scaffold_13 1607009 1607016 + JGI_V11_230644 1606529 1608606 8 + 3828 -1.75022050451946 scaffold_13_1607009_1607016_+
1724 scaffold_13 1607038 1607058 + JGI_V11_230644 1606529 1608606 21 + 6665 -1.75022050451946 scaffold_13_1607038_1607058_+
1725 scaffold_13 1613530 1613542 + JGI_V11_34656 1613380 1614588 13 + 1449 -0.375549864313462 scaffold_13_1613530_1613542_+
1729 scaffold_13 1779029 1779033 + JGI_V11_301391 1778583 1779729 5 + 9643 -1.49064325200077 scaffold_13_1779029_1779033_+
1730 scaffold_13 1780747 1780748 + JGI_V11_301392 1780305 1781595 2 + 1923 -0.186175220832187 scaffold_13_1780747_1780748_+
1731 scaffold_13 1784545 1784546 + JGI_V11_315267 1784045 1785910 2 + 15022 0.745858449637233 scaffold_13_1784545_1784546_+
1732 scaffold_13 1784665 1784676 + JGI_V11_315267 1784045 1785910 12 + 930 0.745858449637233 scaffold_13_1784665_1784676_+
1733 scaffold_13 1844723 1844724 + JGI_V11_301400 1843936 1845981 2 + 936 0.149911702415941 scaffold_13_1844723_1844724_+
1735 scaffold_13 125431 125432 - JGI_V11_239046 124098 125683 2 - 531 -1.09518724212272 scaffold_13_125431_125432_-
1736 scaffold_13 207842 207843 - JGI_V11_194528 190760 208406 2 - 4860 -1.43800199296739 scaffold_13_207842_207843_-
1737 scaffold_13 207879 207924 - JGI_V11_194528 190760 208406 46 - 9358 -1.43800199296739 scaffold_13_207879_207924_-
1738 scaffold_13 212876 212877 - JGI_V11_194533 210501 213189 2 - 603 -0.122777076825404 scaffold_13_212876_212877_-
1739 scaffold_13 216677 216710 - JGI_V11_314966 213784 217112 34 - 2240 -0.303916888774479 scaffold_13_216677_216710_-
1740 scaffold_13 221616 221624 - JGI_V11_47496 218703 222626 9 - 4774 -0.197343927729768 scaffold_13_221616_221624_-
1741 scaffold_13 260213 260214 - JGI_V11_314977 259770 261546 2 - 463 -0.773774694752184 scaffold_13_260213_260214_-
1742 scaffold_13 261090 261091 - JGI_V11_314977 259770 261546 2 - 503 -0.773774694752184 scaffold_13_261090_261091_-
1743 scaffold_13 345320 345321 - JGI_V11_314990 344333 345758 2 - 427 0.196736337837454 scaffold_13_345320_345321_-
1744 scaffold_13 348612 348618 - JGI_V11_314991 345567 348992 7 - 1307 -1.45541935624631 scaffold_13_348612_348618_-
1745 scaffold_13 359110 359111 - JGI_V11_230618 357493 359985 2 - 657 -2.04207173279042 scaffold_13_359110_359111_-
1746 scaffold_13 359483 359488 - JGI_V11_230618 357493 359985 6 - 29277 -2.04207173279042 scaffold_13_359483_359488_-
1747 scaffold_13 412932 412937 - JGI_V11_194557 410104 413433 6 - 955 -0.259799305550647 scaffold_13_412932_412937_-
1750 scaffold_13 489412 489413 - JGI_V11_209675 487543 490336 2 - 396 1.11417967463159 scaffold_13_489412_489413_-
1751 scaffold_13 489902 489930 - JGI_V11_209675 487543 490336 29 - 10397 1.11417967463159 scaffold_13_489902_489930_-
1752 scaffold_13 491586 491590 - JGI_V11_223049 490037 492095 5 - 3898 -0.376526939524609 scaffold_13_491586_491590_-
1753 scaffold_13 491613 491614 - JGI_V11_223049 490037 492095 2 - 727 -0.376526939524609 scaffold_13_491613_491614_-
1756 scaffold_13 634720 634723 - JGI_V11_223072 634328 635993 4 - 1103 -0.1844671952735 scaffold_13_634720_634723_-
1757 scaffold_13 634760 634761 - JGI_V11_223072 634328 635993 2 - 216 -0.1844671952735 scaffold_13_634760_634761_-
1758 scaffold_13 634817 634818 - JGI_V11_223072 634328 635993 2 - 686 -0.1844671952735 scaffold_13_634817_634818_-
1759 scaffold_13 634992 634994 - JGI_V11_223072 634328 635993 3 - 2537 -0.1844671952735 scaffold_13_634992_634994_-
1760 scaffold_13 635025 635028 - JGI_V11_223072 634328 635993 4 - 5165 -0.1844671952735 scaffold_13_635025_635028_-
1761 scaffold_13 635048 635091 - JGI_V11_223072 634328 635993 44 - 8313 -0.1844671952735 scaffold_13_635048_635091_-
1762 scaffold_13 635211 635287 - JGI_V11_223072 634328 635993 77 - 21407 -0.1844671952735 scaffold_13_635211_635287_-
1763 scaffold_13 635429 635431 - JGI_V11_223072 634328 635993 3 - 730 -0.1844671952735 scaffold_13_635429_635431_-
1764 scaffold_13 635476 635499 - JGI_V11_223072 634328 635993 24 - 516889 -0.1844671952735 scaffold_13_635476_635499_-
1765 scaffold_13 638270 638322 - JGI_V11_209708 636219 638819 53 - 10347 1.00731940960754 scaffold_13_638270_638322_-
1766 scaffold_13 642063 642066 - JGI_V11_194610 639011 642554 4 - 2828 0.031873309796155 scaffold_13_642063_642066_-
1767 scaffold_13 684054 684059 - JGI_V11_194615 666609 684320 6 - 1563 -0.885353341055345 scaffold_13_684054_684059_-
1768 scaffold_13 706496 706497 - JGI_V11_223076 704821 706790 2 - 466 -0.0852769532671855 scaffold_13_706496_706497_-
1769 scaffold_13 707780 707781 - JGI_V11_230626 707455 709814 2 - 441 -0.740511564986909 scaffold_13_707780_707781_-
1770 scaffold_13 707873 707874 - JGI_V11_230626 707455 709814 2 - 4552 -0.740511564986909 scaffold_13_707873_707874_-
1771 scaffold_13 707901 707917 - JGI_V11_230626 707455 709814 17 - 3045 -0.740511564986909 scaffold_13_707901_707917_-
1772 scaffold_13 708189 708190 - JGI_V11_230626 707455 709814 2 - 1774 -0.740511564986909 scaffold_13_708189_708190_-
1773 scaffold_13 708460 708472 - JGI_V11_230626 707455 709814 13 - 764 -0.740511564986909 scaffold_13_708460_708472_-
1774 scaffold_13 708836 708837 - JGI_V11_230626 707455 709814 2 - 634 -0.740511564986909 scaffold_13_708836_708837_-
1775 scaffold_13 709313 709363 - JGI_V11_230626 707455 709814 51 - 16302 -0.740511564986909 scaffold_13_709313_709363_-
1776 scaffold_13 710765 710774 - JGI_V11_209723 710170 711266 10 - 2085 0.484655906929164 scaffold_13_710765_710774_-
1777 scaffold_13 712962 713037 - JGI_V11_209727 712021 713527 76 - 10373 1.0967722548639 scaffold_13_712962_713037_-
1779 scaffold_13 737310 737314 - JGI_V11_315076 734284 737818 5 - 1462 0.0133402697639569 scaffold_13_737310_737314_-
1780 scaffold_13 737691 737719 - JGI_V11_315076 734284 737818 29 - 2192 0.0133402697639569 scaffold_13_737691_737719_-
1781 scaffold_13 741677 741685 - JGI_V11_194635 739747 742075 9 - 871 -0.795336296673814 scaffold_13_741677_741685_-
1782 scaffold_13 831251 831273 - JGI_V11_315089 825949 831502 23 - 3813 -0.504754618140965 scaffold_13_831251_831273_-
1782.1 scaffold_13 831251 831273 - JGI_V11_239226 831176 832520 23 - 3813 -0.979462725963407 scaffold_13_831251_831273_-
1783 scaffold_13 846461 846462 - JGI_V11_209756 844242 846971 2 - 640 -0.268400712844103 scaffold_13_846461_846462_-
1785 scaffold_13 859056 859057 - JGI_V11_223098 856563 859324 2 - 1234 0.630315029209569 scaffold_13_859056_859057_-
1786 scaffold_13 865818 865835 - JGI_V11_47251 865138 866036 18 - 3600 1.07210181615502 scaffold_13_865818_865835_-
1787 scaffold_13 919206 919207 - JGI_V11_223102 918103 920172 2 - 1037 -1.51475580728542 scaffold_13_919206_919207_-
1788 scaffold_13 926866 926867 - JGI_V11_99924 925745 927564 2 - 587 1.21315364932851 scaffold_13_926866_926867_-
1789 scaffold_13 927144 927151 - JGI_V11_99924 925745 927564 8 - 5065 1.21315364932851 scaffold_13_927144_927151_-
1790 scaffold_13 930838 930843 - JGI_V11_301328 929571 931342 6 - 36191 -0.497752775391766 scaffold_13_930838_930843_-
1791 scaffold_13 1047570 1047585 - JGI_V11_315125 1046079 1048011 16 - 8627 -0.556163960873783 scaffold_13_1047570_1047585_-
1794 scaffold_13 1061243 1061274 - JGI_V11_301332 1060293 1061761 32 - 24630 -2.2735143240311 scaffold_13_1061243_1061274_-
1797 scaffold_13 1091835 1091836 - JGI_V11_315134 1089646 1092336 2 - 739 0.447075116605978 scaffold_13_1091835_1091836_-
1799 scaffold_13 1151913 1151914 - JGI_V11_301339 1150519 1152414 2 - 1309 -1.5226954673329 scaffold_13_1151913_1151914_-
1800 scaffold_13 1166979 1166980 - JGI_V11_239294 1166741 1168065 2 - 735 -1.78239482480498 scaffold_13_1166979_1166980_-
1801 scaffold_13 1167307 1167308 - JGI_V11_239294 1166741 1168065 2 - 2255 -1.78239482480498 scaffold_13_1167307_1167308_-
1802 scaffold_13 1167337 1167338 - JGI_V11_239294 1166741 1168065 2 - 1128 -1.78239482480498 scaffold_13_1167337_1167338_-
1803 scaffold_13 1167606 1167611 - JGI_V11_239294 1166741 1168065 6 - 11815 -1.78239482480498 scaffold_13_1167606_1167611_-
1805 scaffold_13 1274077 1274081 - JGI_V11_99985 1272595 1274539 5 - 3220 -1.60260770977285 scaffold_13_1274077_1274081_-
1806 scaffold_13 1283929 1283930 - JGI_V11_315173 1283323 1284710 2 - 1015 -2.73578349168835 scaffold_13_1283929_1283930_-
1807 scaffold_13 1284044 1284045 - JGI_V11_315173 1283323 1284710 2 - 588 -2.73578349168835 scaffold_13_1284044_1284045_-
1808 scaffold_13 1284207 1284213 - JGI_V11_315173 1283323 1284710 7 - 29400 -2.73578349168835 scaffold_13_1284207_1284213_-
1809 scaffold_13 1287477 1287480 - JGI_V11_315174 1285386 1287708 4 - 1894 0.219572147126705 scaffold_13_1287477_1287480_-
1812 scaffold_13 1422262 1422264 - JGI_V11_194717 1421778 1424932 3 - 1078 0.628506464403326 scaffold_13_1422262_1422264_-
1814 scaffold_13 1446383 1446384 - JGI_V11_315199 1444260 1446411 2 - 422 -0.422721349346881 scaffold_13_1446383_1446384_-
1815 scaffold_13 1455719 1455729 - JGI_V11_223152 1454916 1459050 11 - 384 -2.10364270243006 scaffold_13_1455719_1455729_-
1816 scaffold_13 1458573 1458579 - JGI_V11_223152 1454916 1459050 7 - 2888 -2.10364270243006 scaffold_13_1458573_1458579_-
1818 scaffold_13 1489626 1489645 - JGI_V11_315212 1487472 1490126 20 - 1784 -2.91380928968094 scaffold_13_1489626_1489645_-
1819 scaffold_13 1491880 1491881 - JGI_V11_223163 1491142 1493515 2 - 716 -0.580876666489998 scaffold_13_1491880_1491881_-
1820 scaffold_13 1492959 1492960 - JGI_V11_223163 1491142 1493515 2 - 1765 -0.580876666489998 scaffold_13_1492959_1492960_-
1821 scaffold_13 1493003 1493018 - JGI_V11_223163 1491142 1493515 16 - 31139 -0.580876666489998 scaffold_13_1493003_1493018_-
1823 scaffold_13 1536285 1536286 - JGI_V11_239370 1535208 1536518 2 - 1421 -0.407477146576941 scaffold_13_1536285_1536286_-
1824 scaffold_13 1540501 1540502 - JGI_V11_239371 1538425 1540935 2 - 746 -2.9436734439282 scaffold_13_1540501_1540502_-
1826 scaffold_13 1586259 1586260 - JGI_V11_301382 1584558 1586861 2 - 980 -2.12102655505901 scaffold_13_1586259_1586260_-
1827 scaffold_13 1589701 1589702 - JGI_V11_301383 1586663 1591366 2 - 1033 -0.394994775169171 scaffold_13_1589701_1589702_-
1831 scaffold_13 1606566 1606618 - JGI_V11_194753 1602763 1607115 53 - 9450 -1.57161413859689 scaffold_13_1606566_1606618_-
1832 scaffold_13 1698343 1698344 - JGI_V11_301363 1696341 1698844 2 - 2753 0.609981252176187 scaffold_13_1698343_1698344_-
1833 scaffold_13 1707308 1707309 - JGI_V11_100066 1703966 1707670 2 - 886 0.955466781797115 scaffold_13_1707308_1707309_-
1834 scaffold_13 1718602 1718603 - JGI_V11_239397 1715679 1719008 2 - 1862 -1.54726534731392 scaffold_13_1718602_1718603_-
1835 scaffold_13 1724004 1724007 - JGI_V11_100070 1720894 1724245 4 - 2784 -2.17784288267429 scaffold_13_1724004_1724007_-
1836 scaffold_13 1761085 1761086 - JGI_V11_100075 1760324 1761542 2 - 3775 0.0505621802683009 scaffold_13_1761085_1761086_-
1837 scaffold_13 1769050 1769051 - JGI_V11_301390 1767541 1769507 2 - 4516 -2.97676993005619 scaffold_13_1769050_1769051_-
1838 scaffold_13 1776164 1776165 - JGI_V11_315263 1775575 1777034 2 - 1104 -2.59130971234785 scaffold_13_1776164_1776165_-
1839 scaffold_13 1792474 1792475 - JGI_V11_100082 1787310 1792794 2 - 378 -1.3776247064048 scaffold_13_1792474_1792475_-
1841 scaffold_13 1823570 1823594 - JGI_V11_315278 1821340 1823775 25 - 12973 1.09854369833907 scaffold_13_1823570_1823594_-
1842 scaffold_13 1843872 1843873 - JGI_V11_47532 1843230 1844121 2 - 606 0.641809590208039 scaffold_13_1843872_1843873_-
1846 scaffold_13 1875079 1875088 - JGI_V11_315291 1874806 1876447 10 - 1451 0.868935650517717 scaffold_13_1875079_1875088_-
1847 scaffold_13 1875947 1875955 - JGI_V11_315291 1874806 1876447 9 - 15763 0.868935650517717 scaffold_13_1875947_1875955_-
1850 scaffold_130 204711 204747 + JGI_V11_218203 204243 207027 37 + 4550 -2.00544256070754 scaffold_130_204711_204747_+
1852 scaffold_130 79370 79371 - JGI_V11_329943 78921 79759 2 - 785 -0.00304841871142747 scaffold_130_79370_79371_-
1853 scaffold_130 222428 222475 - JGI_V11_301406 206988 222977 48 - 4513 -1.99939983305372 scaffold_130_222428_222475_-
1855 scaffold_130 325000 325013 - JGI_V11_329962 317256 336746 14 - 1655 -1.77561174972622 scaffold_130_325000_325013_-
1856 scaffold_131 99956 99961 + JGI_V11_329969 99511 102020 6 + 465 -0.632197390519898 scaffold_131_99956_99961_+
1858 scaffold_131 141116 141132 + JGI_V11_301423 140654 150653 17 + 2718 0.937697623428388 scaffold_131_141116_141132_+
1861 scaffold_131 262416 262417 + JGI_V11_301413 261915 263501 2 + 1111 -3.05619767547792 scaffold_131_262416_262417_+
1862 scaffold_131 266083 266085 + JGI_V11_189444 264580 268968 3 + 1111 -1.32568239415604 scaffold_131_266083_266085_+
1863 scaffold_131 266222 266223 + JGI_V11_189444 264580 268968 2 + 416 -1.32568239415604 scaffold_131_266222_266223_+
1864 scaffold_131 266290 266296 + JGI_V11_189444 264580 268968 7 + 1084 -1.32568239415604 scaffold_131_266290_266296_+
1865 scaffold_131 266377 266385 + JGI_V11_189444 264580 268968 9 + 3773 -1.32568239415604 scaffold_131_266377_266385_+
1867 scaffold_131 332263 332297 + JGI_V11_301417 331767 333548 35 + 21001 -2.21720290933658 scaffold_131_332263_332297_+
1875 scaffold_131 259254 259270 - JGI_V11_63035 258033 259741 17 - 7249 -1.45877850923134 scaffold_131_259254_259270_-
1876 scaffold_131 259301 259314 - JGI_V11_63035 258033 259741 14 - 2177 -1.45877850923134 scaffold_131_259301_259314_-
1877 scaffold_132 24353 24376 + JGI_V11_301441 23830 26489 24 + 9204 0.730682368034644 scaffold_132_24353_24376_+
1878 scaffold_132 26914 26918 + JGI_V11_301437 26389 29549 5 + 1229 1.22393064688191 scaffold_132_26914_26918_+
