chr start end strand gene gene_start gene_end gene_strand expression
3334 scaffold_173 118298 118384 - JGI_V11_302452 115643 118880 - 148.150997768883
3335 scaffold_173 118630 118682 - JGI_V11_302452 115643 118880 - 3994.94645717088
3336 scaffold_173 136473 136526 - JGI_V11_203941 135365 136682 - 153.746527544504
3337 scaffold_173 150389 150453 - JGI_V11_262644 149512 151603 - 61.2076472235181
3338 scaffold_173 150682 150707 - JGI_V11_262644 149512 151603 - 58.1754220976068
3339 scaffold_173 151448 151469 - JGI_V11_262644 149512 151603 - 6151.32014083664
3342 scaffold_173 175201 175209 - JGI_V11_64347 173575 180417 - 321.088125461867
3344 scaffold_173 228550 228566 - JGI_V11_262665 227114 229698 - 128.202162774105
3345 scaffold_174 52987 53017 + JGI_V11_116078 52956 55459 + 138.78369647179
3348 scaffold_174 79223 79224 + JGI_V11_302480 79011 80526 + 44.9643817980071
3349 scaffold_174 89190 89272 + JGI_V11_302482 88908 90043 + 1339.09659705299
3350 scaffold_174 101161 101318 + JGI_V11_231811 100975 102859 + 2284.52444033894
3351 scaffold_174 167434 167435 + JGI_V11_331829 167273 168102 + 7.05048865945424
3352 scaffold_174 58463 58471 - JGI_V11_229353 55604 58655 - 38.7197811107214
3352.1 scaffold_174 58463 58471 - JGI_V11_229355 58359 61998 - 38.7197811107214
3353 scaffold_174 61392 61403 - JGI_V11_229355 58359 61998 - 5.72852203580657
3354 scaffold_174 61619 61621 - JGI_V11_229355 58359 61998 - 76.603178393043
3355 scaffold_174 61731 61774 - JGI_V11_229355 58359 61998 - 273.569280628636
3356 scaffold_174 73516 73620 - JGI_V11_116084 70689 73706 - 651.578261278663
3357 scaffold_174 84528 84575 - JGI_V11_331812 80073 84693 - 46.650467140185
3357.1 scaffold_174 84528 84575 - JGI_V11_331814 84301 87670 - 46.650467140185
3358 scaffold_174 87597 87620 - JGI_V11_331814 84301 87670 - 149.158905276515
3359 scaffold_174 104988 105059 - JGI_V11_302483 102398 105127 - 28.3452183751038
3360 scaffold_174 106700 106781 - JGI_V11_229368 105100 107009 - 283.556087897014
3361 scaffold_174 121892 121916 - JGI_V11_116101 120230 122207 - 644.628810959544
3362 scaffold_174 124491 124672 - JGI_V11_203975 122518 124835 - 863.301074736566
3363 scaffold_174 126585 126586 - JGI_V11_262706 126439 130749 - 20.9636113883906
3364 scaffold_174 126939 126954 - JGI_V11_262706 126439 130749 - 75.5652254279176
3366 scaffold_175 160279 160291 - JGI_V11_331866 154969 162177 - 230.645198335735
3367 scaffold_176 8076 8143 + JGI_V11_302490 7899 9990 + 306.283081401255
3369 scaffold_176 11642 11654 - JGI_V11_331880 11031 12228 - 133.242803150072
3370 scaffold_176 12028 12038 - JGI_V11_331880 11031 12228 - 3589.60703534157
3371 scaffold_177 211068 211070 + JGI_V11_116198 209308 212676 + 24.2243483052496
3373 scaffold_177 203332 203337 - JGI_V11_331956 199348 203368 - 41.8466868227228
3374 scaffold_178 147263 147400 + JGI_V11_116215 147354 148752 + 558.056158221542
3375 scaffold_178 149144 149209 + JGI_V11_231816 148994 150627 + 4521.97343438586
3376 scaffold_178 150268 150269 + JGI_V11_231816 148994 150627 + 5.39803037989465
3377 scaffold_178 151025 151082 + JGI_V11_229387 150865 152482 + 192.530927354753
3378 scaffold_178 151487 151523 + JGI_V11_229387 150865 152482 + 8.92327470962177
3380 scaffold_178 181969 181972 - JGI_V11_331991 165984 197695 - 23.5193701658487
3382 scaffold_18 25287 25363 + JGI_V11_241093 25205 28511 + 335.116600125697
3383 scaffold_18 29783 29827 + JGI_V11_302585 29618 31195 + 462.902772823636
3384 scaffold_18 43058 43096 + JGI_V11_316598 40605 48792 + 171.952557511762
3385 scaffold_18 50221 50241 + JGI_V11_316600 50123 52860 + 52.7231994206532
3390 scaffold_18 86202 86203 + JGI_V11_101459 85589 88773 + 7.40677929738781
3392 scaffold_18 119051 119057 + JGI_V11_101466 118931 120740 + 139.324869198763
3394 scaffold_18 254173 254187 + JGI_V11_316637 251207 260610 + 21.6780685929193
3395 scaffold_18 254572 254577 + JGI_V11_316637 251207 260610 + 95.625187292544
3396 scaffold_18 256088 256162 + JGI_V11_316637 251207 260610 + 87.9610610105861
3397 scaffold_18 277611 277681 + JGI_V11_195559 277385 282389 + 90.3443800761794
3399 scaffold_18 290233 290239 + JGI_V11_316644 290149 293479 + 404.205789383888
3400 scaffold_18 295936 295971 + JGI_V11_101496 295804 297889 + 61.5909180537309
3402 scaffold_18 308772 308788 + JGI_V11_241167 308727 310372 + 84.7242135064184
3403 scaffold_18 315578 315598 + JGI_V11_302596 315113 316756 + 261.007047654847
3405 scaffold_18 358459 358463 + JGI_V11_302525 358260 359292 + 102.49419804681
3406 scaffold_18 371346 371354 + JGI_V11_241193 370040 372435 + 10.5627539759454
3407 scaffold_18 381686 381687 + JGI_V11_241199 381554 382719 + 54.8246349862978
3408 scaffold_18 435849 435885 + JGI_V11_302531 435661 436885 + 247.126567577906
3409 scaffold_18 441211 441232 + JGI_V11_302532 441028 442771 + 465.16804855911
3411 scaffold_18 510147 510154 + JGI_V11_241234 509308 511843 + 673.272857701748
3413 scaffold_18 514260 514330 + JGI_V11_316713 514187 515608 + 120.486287121808
3414 scaffold_18 575731 575732 + JGI_V11_302539 575531 577123 + 5.20475705610062
3415 scaffold_18 586331 586359 + JGI_V11_241258 585946 586677 + 6.38515456671363
3416 scaffold_18 594359 594360 + JGI_V11_302540 594159 595620 + 5.03672904395067
3417 scaffold_18 595959 596001 + JGI_V11_302612 595963 599761 + 1009.64858511925
3418 scaffold_18 614526 614534 + JGI_V11_241271 614104 615353 + 97.4422822064492
3419 scaffold_18 650983 651021 + JGI_V11_49070 650813 652629 + 375.373249095157
3420 scaffold_18 652770 652785 + JGI_V11_302543 652572 654627 + 580.994273889274
3421 scaffold_18 820703 820713 + JGI_V11_302548 820364 821645 + 1016.4347704894
3422 scaffold_18 820894 820905 + JGI_V11_302548 820364 821645 + 167.485045576009
3423 scaffold_18 821070 821125 + JGI_V11_302548 820364 821645 + 41.1285564757983
3424 scaffold_18 821832 821835 + JGI_V11_302549 821621 823071 + 17.912357133764
3425 scaffold_18 823638 823639 + JGI_V11_302623 823471 826713 + 52.8769594996347
3426 scaffold_18 828795 828803 + JGI_V11_302550 828599 830465 + 1206.48644336121
3427 scaffold_18 829062 829063 + JGI_V11_302550 828599 830465 + 49.0830515299126
3428 scaffold_18 873023 873071 + JGI_V11_195644 872675 874494 + 7.49114420067013
3429 scaffold_18 877099 877253 + JGI_V11_230781 876918 878792 + 1420.54029473764
3430 scaffold_18 877679 877700 + JGI_V11_230781 876918 878792 + 53.189498606317
3431 scaffold_18 887762 887770 + JGI_V11_241365 887642 890112 + 185.393658839148
3432 scaffold_18 892623 892629 + JGI_V11_316815 892599 897387 + 19.8987953684585
3433 scaffold_18 929949 929957 + JGI_V11_302553 929753 930967 + 98.5525926469374
3434 scaffold_18 955165 955169 + JGI_V11_241387 954386 955702 + 13.0260233895276
3435 scaffold_18 961386 961477 + JGI_V11_316846 960952 962116 + 15.4575477555727
3436 scaffold_18 966043 966046 + JGI_V11_316849 965774 966826 + 6.42617153883362
3438 scaffold_18 1013227 1013263 + JGI_V11_241415 1012386 1013942 + 54.7848068886772
3439 scaffold_18 1015025 1015033 + JGI_V11_241416 1014870 1017743 + 360.133495105038
3442 scaffold_18 1025448 1025456 + JGI_V11_49378 1025221 1027806 + 5.17770260928671
3443 scaffold_18 1108662 1108771 + JGI_V11_241450 1108559 1110121 + 117.809172139846
3444 scaffold_18 1108990 1109010 + JGI_V11_241450 1108559 1110121 + 30.7995465263041
3445 scaffold_18 1152448 1152463 + JGI_V11_302663 1152166 1155305 + 5.15816262194564
3446 scaffold_18 1169120 1169125 + JGI_V11_316914 1168939 1171125 + 29.0065469650703
3447 scaffold_18 1170950 1170954 + JGI_V11_316914 1168939 1171125 + 42.1764832858059
3447.1 scaffold_18 1170950 1170954 + JGI_V11_302643 1170751 1173145 + 42.1764832858059
3448 scaffold_18 1179569 1179578 + JGI_V11_316918 1179402 1181073 + 41.6017660929319
3449 scaffold_18 1182066 1182074 + JGI_V11_302646 1181770 1184265 + 116.105144480797
3450 scaffold_18 1225206 1225207 + JGI_V11_302649 1225144 1228404 + 75.0527377867422
3451 scaffold_18 1232498 1232502 + JGI_V11_101743 1232243 1236235 + 167.572422941026
3452 scaffold_18 1274412 1274434 + JGI_V11_302576 1274232 1275881 + 79.7874817745214
3453 scaffold_18 1284970 1285009 + JGI_V11_316954 1283422 1285659 + 120.821193412936
3454 scaffold_18 1289022 1289177 + JGI_V11_302655 1288871 1290998 + 6503.39919550238
3455 scaffold_18 1289638 1289672 + JGI_V11_302655 1288871 1290998 + 87.7196775193003
3456 scaffold_18 1289974 1289978 + JGI_V11_302655 1288871 1290998 + 110.798823740476
3457 scaffold_18 1290280 1290326 + JGI_V11_302655 1288871 1290998 + 427.084277568461
3458 scaffold_18 1292939 1292954 + JGI_V11_223905 1292761 1294726 + 129.172241681178
3461 scaffold_18 1420842 1420899 + JGI_V11_241577 1420535 1432392 + 249.901005207409
3463 scaffold_18 49963 49968 - JGI_V11_195553 48595 50189 - 5.05167596621531
3464 scaffold_18 98709 98717 - JGI_V11_223778 97240 98917 - 113.984263287954
3465 scaffold_18 101466 101472 - JGI_V11_101461 99952 101575 - 13.9815340035656
3466 scaffold_18 104223 104263 - JGI_V11_316607 103520 104617 - 46.0980696529775
3467 scaffold_18 107100 107102 - JGI_V11_316608 106061 107158 - 107.495467983873
3469 scaffold_18 142103 142107 - JGI_V11_316614 141277 142699 - 56.1377366526797
3471 scaffold_18 261855 261856 - JGI_V11_302514 260216 262127 - 29.4065732611224
3473 scaffold_18 284955 285039 - JGI_V11_128059 283408 285043 - 3287.02594049762
3474 scaffold_18 329068 329075 - JGI_V11_241176 328188 329779 - 19.2264511635757
3475 scaffold_18 334215 334279 - JGI_V11_8488 333495 334387 - 507.104172417226
3476 scaffold_18 338144 338145 - JGI_V11_101510 335998 338259 - 21.2438644228752
3478 scaffold_18 339200 339261 - JGI_V11_302522 338679 339870 - 49.173279617803
3479 scaffold_18 339584 339710 - JGI_V11_302522 338679 339870 - 20413.0592764476
3480 scaffold_18 341633 341680 - JGI_V11_316663 339763 341721 - 133.104702128877
3481 scaffold_18 343371 343376 - JGI_V11_316664 341683 343603 - 875.78733628943
3482 scaffold_18 369628 369656 - JGI_V11_302528 367131 369884 - 139.432387792376
3483 scaffold_18 404579 404589 - JGI_V11_101532 404051 405743 - 6.27934146232643
3484 scaffold_18 404705 404727 - JGI_V11_101532 404051 405743 - 33.9507632575392
3485 scaffold_18 404900 404937 - JGI_V11_101532 404051 405743 - 114.107767384447
3486 scaffold_18 405036 405147 - JGI_V11_101532 404051 405743 - 632.299017590143
3487 scaffold_18 405281 405333 - JGI_V11_101532 404051 405743 - 560.197434306155
3488 scaffold_18 405565 405578 - JGI_V11_101532 404051 405743 - 8341.75373311643
3489 scaffold_18 411762 411847 - JGI_V11_316685 411192 412733 - 130.027385308893
3490 scaffold_18 412038 412071 - JGI_V11_316685 411192 412733 - 7.93179974188602
3491 scaffold_18 412556 412569 - JGI_V11_316685 411192 412733 - 1748.81034298109
3492 scaffold_18 417719 417862 - JGI_V11_101535 415751 418297 - 214.193344221449
3493 scaffold_18 418190 418194 - JGI_V11_101535 415751 418297 - 25.5842023836463
3494 scaffold_18 422961 422999 - JGI_V11_101537 422229 423685 - 47.7427142203924
3495 scaffold_18 423246 423268 - JGI_V11_101537 422229 423685 - 17.589545714322
3496 scaffold_18 423510 423516 - JGI_V11_101537 422229 423685 - 1540.45995204091
3497 scaffold_18 452397 452772 - JGI_V11_241217 451607 453146 - 629.25819414357
3498 scaffold_18 452985 453012 - JGI_V11_241217 451607 453146 - 22575.2462422538
3499 scaffold_18 480423 480463 - JGI_V11_241226 479766 481257 - 12.4392396093099
3500 scaffold_18 480802 480803 - JGI_V11_241226 479766 481257 - 55.0185311665828
3501 scaffold_18 480952 480970 - JGI_V11_241226 479766 481257 - 154.988319932778
3502 scaffold_18 490649 490655 - JGI_V11_302605 489656 490855 - 79.2769944590812
3503 scaffold_18 518867 518872 - JGI_V11_223817 517477 519072 - 116.505041733569
3505 scaffold_18 539586 539593 - JGI_V11_316719 538479 539724 - 328.619527233696
3506 scaffold_18 574123 574131 - JGI_V11_302538 572534 574358 - 20.6292452349147
3508 scaffold_18 590275 590284 - JGI_V11_302611 588987 590480 - 148.866996497877
3509 scaffold_18 602257 602368 - JGI_V11_302541 599714 602567 - 311.326440636941
3510 scaffold_18 609790 609807 - JGI_V11_316738 608789 610250 - 12.6420281738876
3511 scaffold_18 623714 623717 - JGI_V11_316742 622489 623911 - 139.935124139334
3512 scaffold_18 634048 634051 - JGI_V11_223831 630926 634252 - 6.53595121394579
3513 scaffold_18 700092 700105 - JGI_V11_316760 697817 700516 - 5.39803037989465
3514 scaffold_18 700351 700355 - JGI_V11_316760 697817 700516 - 705.666004432617
3516 scaffold_18 725428 725443 - JGI_V11_241308 724624 726089 - 26.2152317896341
3517 scaffold_18 728347 728370 - JGI_V11_316769 726474 729927 - 2515.97281879597
3518 scaffold_18 805802 805829 - JGI_V11_302621 804154 807394 - 1204.11359150227
3519 scaffold_18 808504 808596 - JGI_V11_302545 807223 809341 - 28.7298832736625
3520 scaffold_18 809057 809066 - JGI_V11_302545 807223 809341 - 6.71999700354232
3521 scaffold_18 811510 811512 - JGI_V11_101631 809988 811630 - 45.887893575556
3522 scaffold_18 813890 813924 - JGI_V11_302546 812226 814410 - 68.1360241228839
3523 scaffold_18 817972 817973 - JGI_V11_302547 816209 818324 - 20.0792246011517
3524 scaffold_18 818121 818225 - JGI_V11_302547 816209 818324 - 748.230982965873
3525 scaffold_18 879860 879861 - JGI_V11_316810 879175 880909 - 14.2148955718587
3526 scaffold_18 884034 884040 - JGI_V11_241363 882526 884136 - 144.733230259898
3527 scaffold_18 886253 886260 - JGI_V11_302551 884934 886708 - 12.4345783271256
3528 scaffold_18 924015 924020 - JGI_V11_316826 923139 924212 - 11.4937224592624
3529 scaffold_18 928093 928131 - JGI_V11_241375 926080 929475 - 20.6906946856417
3530 scaffold_18 929302 929305 - JGI_V11_241375 926080 929475 - 37.4173958393652
3531 scaffold_18 938071 938099 - JGI_V11_302555 937874 939740 - 5.90321814405633
3532 scaffold_18 939503 939540 - JGI_V11_302555 937874 939740 - 314.474211547765
3532.1 scaffold_18 939503 939540 - JGI_V11_302556 939532 940870 - 314.474211547765
3533 scaffold_18 940650 940676 - JGI_V11_302556 939532 940870 - 336.547971712069
3534 scaffold_18 942998 943030 - JGI_V11_302629 940696 943134 - 143.348536389618
3535 scaffold_18 943892 943996 - JGI_V11_316836 943057 944178 - 1420.75395689271
3536 scaffold_18 945224 945239 - JGI_V11_316837 944577 945421 - 1965.59248756361
3537 scaffold_18 955939 955941 - JGI_V11_302632 955343 956714 - 5.62211251814888
3538 scaffold_18 956184 956240 - JGI_V11_302632 955343 956714 - 135.671685020322
3539 scaffold_18 956514 956518 - JGI_V11_302632 955343 956714 - 3795.84984402238
3540 scaffold_18 1029337 1029361 - JGI_V11_241421 1028029 1029435 - 31.0496859512163
3541 scaffold_18 1032419 1032424 - JGI_V11_316871 1031171 1032525 - 131.436702779315
3542 scaffold_18 1040707 1040712 - JGI_V11_241428 1039371 1040842 - 20.2131864969233
3544 scaffold_18 1106696 1106701 - JGI_V11_302561 1105578 1106900 - 144.639595648533
3545 scaffold_18 1107978 1107997 - JGI_V11_316888 1107073 1108147 - 49.9498346385869
3546 scaffold_18 1130233 1130234 - JGI_V11_302564 1128886 1130793 - 11.5403577215639
3547 scaffold_18 1130557 1130608 - JGI_V11_302564 1128886 1130793 - 595.862282905399
3548 scaffold_18 1132686 1132710 - JGI_V11_49170 1131060 1132710 - 981.742697603824
3549 scaffold_18 1147078 1147083 - JGI_V11_302638 1145963 1147204 - 179.408322511255
3550 scaffold_18 1148460 1148461 - JGI_V11_302568 1147399 1148661 - 71.8832092194365
3551 scaffold_18 1230846 1230861 - JGI_V11_210764 1229376 1230958 - 59.0465731879712
3552 scaffold_18 1271984 1271988 - JGI_V11_223896 1270000 1272415 - 64.2541280316601
3553 scaffold_18 1272205 1272216 - JGI_V11_223896 1270000 1272415 - 2846.13735749186
3554 scaffold_18 1274151 1274199 - JGI_V11_210768 1272342 1274383 - 209.315297720405
3555 scaffold_18 1280594 1280616 - JGI_V11_302577 1278955 1280848 - 152.732802414058
3557 scaffold_18 1327946 1327947 - JGI_V11_230784 1327141 1328321 - 5.03672904395067
3558 scaffold_18 1329358 1329484 - JGI_V11_49319 1328658 1329364 - 1064.60690667506
3558.1 scaffold_18 1329358 1329484 - JGI_V11_241543 1329470 1337494 - 1064.60690667506
3559 scaffold_18 1378677 1378728 - JGI_V11_316989 1377378 1378879 - 320.543179165472
3560 scaffold_18 1407759 1407763 - JGI_V11_210791 1405968 1408733 - 50.1542142992594
3561 scaffold_18 1408489 1408565 - JGI_V11_210791 1405968 1408733 - 1244.36880944705
3562 scaffold_18 1409635 1409711 - JGI_V11_302659 1408746 1409912 - 876.422030094495
3563 scaffold_181 116179 116231 + JGI_V11_204003 116002 118592 + 228.600694031406
3564 scaffold_181 118536 118537 + JGI_V11_204003 116002 118592 + 5.49123292737372
3567 scaffold_181 110755 110776 - JGI_V11_302671 109938 111843 - 19.158305179529
3568 scaffold_181 111706 111711 - JGI_V11_302671 109938 111843 - 311.293988805576
3569 scaffold_181 128221 128227 - JGI_V11_302673 126788 128431 - 59.9806584102875
3571 scaffold_182 34640 34641 + JGI_V11_64669 34536 35679 + 23.2347901991085
3573 scaffold_182 153376 153483 + JGI_V11_302682 153205 155490 + 37321.7717359674
3574 scaffold_182 153576 153645 + JGI_V11_302682 153205 155490 + 124.046056142867
3575 scaffold_182 154077 154297 + JGI_V11_302682 153205 155490 + 8943.92536551294
3576 scaffold_182 154403 154658 + JGI_V11_302682 153205 155490 + 1008.67299340127
3577 scaffold_182 154965 154966 + JGI_V11_302682 153205 155490 + 5.6183581505026
3581 scaffold_182 167204 167243 + JGI_V11_302692 167237 173192 + 37.1687216099388
3583 scaffold_182 20699 20707 - JGI_V11_93694 3060 26607 - 1088.82770573157
3584 scaffold_182 29182 29215 - JGI_V11_332162 28099 30119 - 100.10100691162
3585 scaffold_182 29372 29373 - JGI_V11_332162 28099 30119 - 5.17770260928671
3586 scaffold_182 29909 29953 - JGI_V11_332162 28099 30119 - 5520.77430057433
3587 scaffold_182 34295 34342 - JGI_V11_332164 31454 34423 - 306.687219446903
3590 scaffold_182 133055 133059 - JGI_V11_302681 130012 133523 - 5.05990126633399
3591 scaffold_182 133190 133459 - JGI_V11_302681 130012 133523 - 801.57643818971
3593 scaffold_182 175250 175270 - JGI_V11_302685 172806 175466 - 76.0077362634332
3594 scaffold_182 181885 181890 - JGI_V11_204027 175883 181921 - 44.7162316421113
3595 scaffold_182 198781 198793 - JGI_V11_302695 193550 198869 - 79.3902142135705
3596 scaffold_182 203797 203910 - JGI_V11_204033 201184 205579 - 61.5443185389358
3597 scaffold_182 204092 204123 - JGI_V11_204033 201184 205579 - 23.9623570910654
3598 scaffold_182 204431 204473 - JGI_V11_204033 201184 205579 - 141.087426093483
3600 scaffold_1822 7277 7284 + JGI_V11_230012 7081 8219 + 1476.27648964344
3601 scaffold_1828 5646 5741 + JGI_V11_302698 4483 5711 + 646.399109659113
3602 scaffold_183 19626 19629 + JGI_V11_263172 19532 22677 + 38.5683728910455
3603 scaffold_183 29730 29735 + JGI_V11_263176 29628 32170 + 577.189109795033
3605 scaffold_183 53910 53911 + JGI_V11_229417 53693 55008 + 60.7697459704176
3606 scaffold_183 55088 55120 + JGI_V11_302710 54906 57803 + 352.959910807445
3607 scaffold_183 64262 64278 + JGI_V11_116399 64179 65698 + 1627.87875242359
3608 scaffold_183 64432 64438 + JGI_V11_116399 64179 65698 + 38.8517996875503
3610 scaffold_183 68085 68097 + JGI_V11_64728 67981 69728 + 45.753034963471
3611 scaffold_183 68230 68234 + JGI_V11_64728 67981 69728 + 95.4368436260555
3613 scaffold_183 133349 133407 + JGI_V11_332222 132710 137829 + 53.064505080924
3614 scaffold_183 133580 133581 + JGI_V11_332222 132710 137829 + 10.4439909340054
3617 scaffold_183 147271 147301 + JGI_V11_116424 145500 150567 + 20.3055637895051
3618 scaffold_183 177489 177494 + JGI_V11_332233 177449 183713 + 103.251310951803
3619 scaffold_183 178409 178410 + JGI_V11_332233 177449 183713 + 19.2222893973929
3621 scaffold_183 193571 193729 + JGI_V11_116436 189529 196533 + 1093.54158630324
3623 scaffold_183 53169 53205 - JGI_V11_332203 51797 53338 - 29.0021615040032
3624 scaffold_183 63719 63761 - JGI_V11_302712 61497 63883 - 150.036203702756
3625 scaffold_183 124410 124437 - JGI_V11_332220 121941 124645 - 172.747578058361
3626 scaffold_184 66338 66401 + JGI_V11_219048 66161 68500 + 197.748411220197
3629 scaffold_184 49254 49310 - JGI_V11_231826 48003 50159 - 305.256145550239
3630 scaffold_184 49620 49686 - JGI_V11_231826 48003 50159 - 233.496374361017
3631 scaffold_184 49899 49967 - JGI_V11_231826 48003 50159 - 1328.63199771275
3632 scaffold_184 65590 65672 - JGI_V11_332246 54798 65808 - 1497.13594837183
3637 scaffold_187 23406 23412 + JGI_V11_332291 23240 24421 + 32.2487213931228
3638 scaffold_187 23537 23654 + JGI_V11_332291 23240 24421 + 77.0612013028421
3639 scaffold_187 25674 25675 + JGI_V11_229441 25479 26665 + 11.2058179313165
3640 scaffold_187 26045 26202 + JGI_V11_229441 25479 26665 + 65.194621246707
3641 scaffold_187 29579 29586 + JGI_V11_302752 29414 30588 + 80.8575597898031
3642 scaffold_187 30118 30119 + JGI_V11_302752 29414 30588 + 5.06753872398273
3643 scaffold_187 31885 31887 + JGI_V11_229443 31724 32927 + 2164.84477729888
3644 scaffold_187 32106 32123 + JGI_V11_229443 31724 32927 + 341.862551714372
3645 scaffold_187 32291 32328 + JGI_V11_229443 31724 32927 + 61.3854867972455
3646 scaffold_187 51434 51445 + JGI_V11_229446 51239 52407 + 1558.05338235583
3647 scaffold_187 55733 55743 + JGI_V11_332302 55540 56759 + 2019.08307948067
3648 scaffold_187 55939 55961 + JGI_V11_332302 55540 56759 + 61.7249814178262
3649 scaffold_187 57660 57668 + JGI_V11_229447 57462 58599 + 5686.98865845779
3650 scaffold_187 58102 58104 + JGI_V11_229447 57462 58599 + 93.8033080773628
3651 scaffold_187 60873 60882 + JGI_V11_116508 60735 61681 + 2289.74844710686
3652 scaffold_187 95849 95858 + JGI_V11_18087 95857 96639 + 10689.2717331918
3653 scaffold_187 96064 96103 + JGI_V11_18087 95857 96639 + 24.4417304076691
3654 scaffold_187 96288 96427 + JGI_V11_18087 95857 96639 + 294.136300159511
3655 scaffold_187 132952 132956 + JGI_V11_302744 132755 133777 + 102.360266180835
3656 scaffold_187 142915 142927 + JGI_V11_302745 142721 146845 + 75.9755469354279
3657 scaffold_187 195949 195954 + JGI_V11_332338 195881 197114 + 70.0994110486689
3658 scaffold_187 196228 196322 + JGI_V11_332338 195881 197114 + 43.0164747021176
3659 scaffold_187 196787 196805 + JGI_V11_332338 195881 197114 + 6.25249122697325
3660 scaffold_187 20770 20771 - JGI_V11_332289 19953 21123 - 15.2174199776356
3661 scaffold_187 20956 20963 - JGI_V11_332289 19953 21123 - 1298.23644907257
3662 scaffold_187 22391 22463 - JGI_V11_302750 21461 22666 - 107.518912340797
3663 scaffold_187 22564 22567 - JGI_V11_302750 21461 22666 - 69.9841825801015
3664 scaffold_187 27990 28020 - JGI_V11_229442 27378 28613 - 312.977205642708
3665 scaffold_187 28180 28262 - JGI_V11_229442 27378 28613 - 188.333960522143
3666 scaffold_187 28412 28416 - JGI_V11_229442 27378 28613 - 308.909144279338
3667 scaffold_187 35885 35940 - JGI_V11_302751 35064 36262 - 452.51021626046
3668 scaffold_187 37180 37190 - JGI_V11_302736 36579 37734 - 44.0909608990386
3669 scaffold_187 37363 37374 - JGI_V11_302736 36579 37734 - 136.347250437652
3670 scaffold_187 38950 39061 - JGI_V11_229445 38386 39658 - 83.9439604002807
3671 scaffold_187 39305 39340 - JGI_V11_229445 38386 39658 - 80.7093777754621
3672 scaffold_187 39474 39477 - JGI_V11_229445 38386 39658 - 7108.23578641257
3673 scaffold_187 40753 40771 - JGI_V11_332297 40160 41358 - 19.4394005906082
3674 scaffold_187 40978 41023 - JGI_V11_332297 40160 41358 - 130.195839511125
3675 scaffold_187 41184 41185 - JGI_V11_332297 40160 41358 - 27.6211113658353
3676 scaffold_187 43552 43583 - JGI_V11_263359 43147 44213 - 5.50819426519862
3677 scaffold_187 43825 43861 - JGI_V11_263359 43147 44213 - 360.710753423733
3678 scaffold_187 44041 44042 - JGI_V11_263359 43147 44213 - 26.5237446519991
3679 scaffold_187 45311 45320 - JGI_V11_332299 44766 45851 - 42.3422067919812
3680 scaffold_187 45682 45683 - JGI_V11_332299 44766 45851 - 45.1262890268371
3681 scaffold_187 47110 47208 - JGI_V11_263361 46419 47556 - 1120.55836993135
3682 scaffold_187 47390 47393 - JGI_V11_263361 46419 47556 - 2240.63363933285
3683 scaffold_187 67072 67095 - JGI_V11_64872 66710 67524 - 123.421890809798
3684 scaffold_187 67382 67404 - JGI_V11_64872 66710 67524 - 5.49123292737372
3686 scaffold_187 71703 71708 - JGI_V11_219079 70727 71904 - 276.799215444882
3687 scaffold_187 79221 79222 - JGI_V11_302739 78136 79417 - 11.4215317342584
3688 scaffold_187 80980 81233 - JGI_V11_302740 80336 81838 - 465.632716500496
3689 scaffold_187 81656 81668 - JGI_V11_302740 80336 81838 - 10639.8782920079
3690 scaffold_187 85644 85653 - JGI_V11_302741 84393 85849 - 2603.13045474197
3691 scaffold_187 89642 89909 - JGI_V11_332314 89386 90492 - 162.818627479974
3692 scaffold_187 90073 90115 - JGI_V11_332314 89386 90492 - 131.195170641789
3693 scaffold_187 90309 90312 - JGI_V11_332314 89386 90492 - 83.7097156045053
3694 scaffold_187 174183 174215 - JGI_V11_332332 169017 174323 - 107.721163581841
3696 scaffold_187 177133 177139 - JGI_V11_302747 176126 177341 - 13.6331610841626
3697 scaffold_187 191489 191516 - JGI_V11_229462 190809 192049 - 5.23582674470517
3698 scaffold_187 191843 191852 - JGI_V11_229462 190809 192049 - 769.946671151062
3699 scaffold_188 148798 148811 + JGI_V11_263423 146590 151027 + 511.741652349507
3700 scaffold_188 149028 149185 + JGI_V11_263423 146590 151027 + 301.761112219667
3701 scaffold_188 149386 149389 + JGI_V11_263423 146590 151027 + 6.8121084998964
3704 scaffold_188 154085 154137 - JGI_V11_302765 153446 154887 - 298.383041667579
3705 scaffold_188 154251 154298 - JGI_V11_302765 153446 154887 - 318.257024400403
3706 scaffold_188 154423 154425 - JGI_V11_302765 153446 154887 - 176.920203174847
3707 scaffold_188 154591 154656 - JGI_V11_302765 153446 154887 - 1830.71282287699
3709 scaffold_1880 6759 6804 + JGI_V11_93873 6511 7775 + 549.180187498763
3714 scaffold_19 238159 238246 + JGI_V11_210803 237990 239936 + 55.639431652913
3715 scaffold_19 243428 243461 + JGI_V11_317013 241008 247450 + 224.5032286962
3718 scaffold_19 302645 302649 + JGI_V11_302840 302504 305797 + 10.6338571245998
3721 scaffold_19 335835 335842 + JGI_V11_49503 333272 341311 + 59.8254529161926
3722 scaffold_19 347387 347518 + JGI_V11_317026 343914 349628 + 723.751164278979
3723 scaffold_19 348263 348294 + JGI_V11_317026 343914 349628 + 64.9877299597588
3724 scaffold_19 355530 355560 + JGI_V11_302775 355323 357138 + 209.470173670955
3728 scaffold_19 453581 453673 + JGI_V11_223934 453382 456228 + 1295.14401412295
