JGI_V11_221545	FBgn0036812	Nufip
JGI_V11_301937	FBgn0031399	mio
JGI_V11_301931	FBgn0052281	CG32281
JGI_V11_238170	FBgn0051612	CG31612
JGI_V11_195940	FBgn0010292	bys
JGI_V11_308749	FBgn0085478	CG34449
JGI_V11_308744	FBgn0020510	Abi
JGI_V11_308742	FBgn0035026	Fcp1
JGI_V11_328912	FBgn0031266	CG2807
JGI_V11_328916	FBgn0001296	kar
JGI_V11_308745	FBgn0033713	CG8841
JGI_V11_306237	FBgn0034301	CG5756
JGI_V11_238350	FBgn0011571	caz
JGI_V11_111404	FBgn0038626	CG7691
JGI_V11_307185	FBgn0037008	mTerf3
JGI_V11_302911	FBgn0053138	AGBE
JGI_V11_302916	FBgn0020307	dve
JGI_V11_234969	FBgn0034808	CG9896
JGI_V11_127055	FBgn0020248	stet
JGI_V11_313808	FBgn0037556	CG9636
JGI_V11_43721	FBgn0015527	peng
JGI_V11_232987	FBgn0031976	CG7367
JGI_V11_43728	FBgn0000097	aop
JGI_V11_310342	FBgn0086901	cv-c
JGI_V11_309832	FBgn0028341	Ptpmeg2
JGI_V11_262091	FBgn0032488	CG16812
JGI_V11_25900	FBgn0015351	CG14906
JGI_V11_208066	FBgn0029755	Sas10
JGI_V11_290632	FBgn0038851	dmrt93B
JGI_V11_339668	FBgn0019948	Phm
JGI_V11_230974	FBgn0024432	Dlc90F
JGI_V11_308065	FBgn0029079	icln
JGI_V11_96117	FBgn0026737	CG6171
JGI_V11_116182	FBgn0030183	CG15309
JGI_V11_36719	FBgn0039404	CG14543
JGI_V11_301332	FBgn0029785	RpL35
JGI_V11_254308	FBgn0025686	Amnionless
JGI_V11_200276	FBgn0035833	CG7565
JGI_V11_230594	FBgn0031066	COX6B
JGI_V11_300325	FBgn0039233	CG7006
JGI_V11_300165	FBgn0260439	Pp2A-29B
JGI_V11_201906	FBgn0052380	SMSr
JGI_V11_300167	FBgn0261649	tinc
JGI_V11_309652	FBgn0028274	
JGI_V11_300162	FBgn0030961	CG7058
JGI_V11_44736	FBgn0016975	stnB
JGI_V11_94123	FBgn0032602	ppk17
JGI_V11_205578	FBgn0010520	Bka
JGI_V11_203508	FBgn0260972	alc
JGI_V11_320429	FBgn0062449	CG13197
JGI_V11_325769	FBgn0020660	eIF-4B
JGI_V11_321659	FBgn0034060	CG8370
JGI_V11_54916	FBgn0036397	Nprl3
JGI_V11_302835	FBgn0036180	CG6091
JGI_V11_308530	FBgn0036372	Abp1
JGI_V11_49901	FBgn0034013	unc-5
JGI_V11_190285	FBgn0066304	Rpp20
JGI_V11_211177	FBgn0033884	CG13344
JGI_V11_205016	FBgn0034270	CG6401
JGI_V11_252076	FBgn0038143	CG9813
JGI_V11_302218	FBgn0033169	CG11123
JGI_V11_313055	FBgn0033869	Cpr50Cb
JGI_V11_324687	FBgn0031227	CG3709
JGI_V11_327489	FBgn0260398	Pbp49
JGI_V11_200659	FBgn0027785	NP15.6
JGI_V11_313174	FBgn0030716	CG9170
JGI_V11_299906	FBgn0083983	mRpL34
JGI_V11_230117	FBgn0260441	RpS12
JGI_V11_222916	FBgn0039680	Cap-D2
JGI_V11_324970	FBgn0035057	CG3880
JGI_V11_324977	FBgn0038651	CG14299
JGI_V11_317126	FBgn0033901	O-fut1
JGI_V11_330660	FBgn0027548	nito
JGI_V11_330661	FBgn0032644	CG5131
JGI_V11_311756	FBgn0002791	mr
JGI_V11_245167	FBgn0031690	CG7742
JGI_V11_304466	FBgn0024191	sip1
JGI_V11_25304	FBgn0004862	bap
JGI_V11_306770	FBgn0035537	CG11342
JGI_V11_231640	FBgn0025549	unc-119
JGI_V11_323335	FBgn0052532	CG32532
JGI_V11_223002	FBgn0035430	CG12009
JGI_V11_306778	FBgn0261437	CSN8
JGI_V11_196289	FBgn0035357	MEP-1
JGI_V11_231649	FBgn0086904	Nacalpha
JGI_V11_304688	FBgn0262647	Nup160
JGI_V11_304687	FBgn0034618	CG9485
JGI_V11_228923	FBgn0005198	gig
JGI_V11_97747	FBgn0034517	Cpr57A
JGI_V11_310628	FBgn0029514	312
JGI_V11_224986	FBgn0037716	CG8273
JGI_V11_309336	FBgn0035243	CG13926
JGI_V11_64737	FBgn0031098	CG17068
JGI_V11_309335	FBgn0259982	l(2)35Cc
JGI_V11_120008	FBgn0027505	Rab3-GAP
JGI_V11_305161	FBgn0022023	eIF-3p40
JGI_V11_308825	FBgn0010265	RpS13
JGI_V11_219972	FBgn0032719	CG17321
JGI_V11_65421	FBgn0030701	CG16952
JGI_V11_302455	FBgn0038272	CG7265
JGI_V11_302451	FBgn0027093	Aats-arg
JGI_V11_307428	FBgn0032166	CG4619
JGI_V11_63836	FBgn0037200	CG11109
JGI_V11_302384	FBgn0000416	Sap-r
JGI_V11_210964	FBgn0052226	Pex23
JGI_V11_190611	FBgn0032172	CG5850
JGI_V11_222139	FBgn0260959	MCPH1
JGI_V11_301481	FBgn0259734	Nost
JGI_V11_301482	FBgn0039936	CG11148
JGI_V11_115745	FBgn0026059	Mhcl
JGI_V11_303413	FBgn0033899	CG13016
JGI_V11_303417	FBgn0034277	OstDelta
JGI_V11_303416	FBgn0262801	twr
JGI_V11_300687	FBgn0036893	CG9376
JGI_V11_300689	FBgn0027784	Prp18
JGI_V11_319751	FBgn0083984	CG34148
JGI_V11_212197	FBgn0260990	yata
JGI_V11_306013	FBgn0033672	rho-7
JGI_V11_231233	FBgn0260659	CG42542
JGI_V11_306011	FBgn0031379	CG7289
JGI_V11_308823	FBgn0034351	CG5190
JGI_V11_319571	FBgn0051221	CG31221
JGI_V11_307221	FBgn0025574	Pli
JGI_V11_110849	FBgn0039120	Nup98-96
JGI_V11_50287	FBgn0039465	Tsp97E
JGI_V11_219913	FBgn0000283	Cp190
JGI_V11_259804	FBgn0039408	CG14551
JGI_V11_306430	FBgn0030352	sicily
JGI_V11_318481	FBgn0039137	CG13604
JGI_V11_319285	FBgn0086708	stv
JGI_V11_212447	FBgn0261386	Gpa2
JGI_V11_318151	FBgn0041604	dlp
JGI_V11_313869	FBgn0013983	imd
JGI_V11_318158	FBgn0004583	ex
JGI_V11_318159	FBgn0004583	ex
JGI_V11_309815	FBgn0263352	Unr
JGI_V11_188776	FBgn0038571	CG7215
JGI_V11_32500	FBgn0028996	onecut
JGI_V11_311294	FBgn0265574	Cdc5
JGI_V11_190827	FBgn0036959	CG6951
JGI_V11_98029	FBgn0027596	Kank
JGI_V11_97084	FBgn0032921	Mpp6
JGI_V11_222245	FBgn0036624	RAF2
JGI_V11_307050	FBgn0034050	CG8297
JGI_V11_299872	FBgn0031376	
JGI_V11_306437	FBgn0039405	CG14550
JGI_V11_300309	FBgn0030038	CG1440
JGI_V11_309672	FBgn0041707	7B2
JGI_V11_45221	FBgn0033500	CG12913
JGI_V11_299999	FBgn0032048	Dh31
JGI_V11_203299	FBgn0037728	CG16817
JGI_V11_45040	FBgn0003270	amos
JGI_V11_59706	FBgn0040284	
JGI_V11_194589	FBgn0038056	CG5961
JGI_V11_325780	FBgn0030528	CG11095
JGI_V11_194582	FBgn0034913	Snap29
JGI_V11_35389	FBgn0014417	CG13397
JGI_V11_318178	FBgn0036771	CG14353
JGI_V11_40876	FBgn0034921	DCP1
JGI_V11_382	FBgn0038118	timeout
JGI_V11_315704	FBgn0039114	Lsd-1
JGI_V11_310950	FBgn0031950	Herp
JGI_V11_302274	FBgn0013325	RpL11
JGI_V11_300275	FBgn0030610	CG9065
JGI_V11_202160	FBgn0038590	CG12320
JGI_V11_305959	FBgn0262601	SmB
JGI_V11_299735	FBgn0000413	
JGI_V11_230283	FBgn0037819	CG14688
JGI_V11_104729	FBgn0031745	rau
JGI_V11_230286	FBgn0261608	RpL37A
JGI_V11_327975	FBgn0019932	SamDC
JGI_V11_230132	FBgn0050016	CG30016
JGI_V11_322333	FBgn0047178	CG32147
JGI_V11_230136	FBgn0035692	CG13298
JGI_V11_299651	FBgn0019960	Mitofilin
JGI_V11_299659	FBgn0034484	CG11044
JGI_V11_308816	FBgn0028648	mRpL50
JGI_V11_229774	FBgn0035111	CG16940
JGI_V11_127260	FBgn0052076	Alg10
JGI_V11_308332	FBgn0033869	Cpr50Cb
JGI_V11_311771	FBgn0038453	CG10326
JGI_V11_311770	FBgn0017561	Ork1
JGI_V11_328892	FBgn0034420	CG10737
JGI_V11_328899	FBgn0000183	BicD
JGI_V11_304337	FBgn0265356	tn
JGI_V11_304445	FBgn0027080	Aats-tyr
JGI_V11_224195	FBgn0031309	Tfb4
JGI_V11_300535	FBgn0001961	Arpc1
JGI_V11_323318	FBgn0021742	C901
JGI_V11_303876	FBgn0043012	AP-2sigma
JGI_V11_209756	FBgn0030692	mRpS30
JGI_V11_323315	FBgn0011232	scat
JGI_V11_323316	FBgn0031224	CG11454
JGI_V11_323313	FBgn0052676	CG32676
JGI_V11_95812	FBgn0034940	CG16787
JGI_V11_303914	FBgn0037855	CG6621
JGI_V11_205294	FBgn0035470	Ccz1
JGI_V11_61189	FBgn0036919	Grasp65
JGI_V11_224305	FBgn0030571	CG14414
JGI_V11_231254	FBgn0040512	zetaCOP
JGI_V11_308808	FBgn0051450	mRpS18A
JGI_V11_222134	FBgn0037255	Fip1
JGI_V11_305315	FBgn0040271	Sulf1
JGI_V11_315280	FBgn0032733	CG15170
JGI_V11_307446	FBgn0037156	CG11523
JGI_V11_307447	FBgn0031836	CG11050
JGI_V11_199063	FBgn0035471	Sc2
JGI_V11_200404	FBgn0041004	CG17715
JGI_V11_302783	FBgn0025336	CG4882
JGI_V11_302780	FBgn0061198	HSPC300
JGI_V11_231336	FBgn0264922	smt3
JGI_V11_46926	FBgn0034013	unc-5
JGI_V11_302788	FBgn0010409	RpL18A
JGI_V11_63587	FBgn0023510	Rbcn-3B
JGI_V11_50949	FBgn0020018	Ppox
JGI_V11_94039	FBgn0038389	CG5516
JGI_V11_45695	FBgn0037116	Als2
JGI_V11_57515	FBgn0011455	ND-SGDH
JGI_V11_303788	FBgn0022942	Cbp80
JGI_V11_54762	FBgn0032430	CG6388
JGI_V11_303431	FBgn0039713	RpS8
JGI_V11_202806	FBgn0029958	Pdp
JGI_V11_314627	FBgn0035444	CG12012
JGI_V11_314624	FBgn0003715	
JGI_V11_311563	FBgn0261647	Axud1
JGI_V11_311561	FBgn0032341	Reps
JGI_V11_317627	FBgn0035056	spz6
JGI_V11_317626	FBgn0035056	spz6
JGI_V11_191862	FBgn0003042	Pc
JGI_V11_226482	FBgn0023212	EloB
JGI_V11_310790	FBgn0083986	CG34150
JGI_V11_231414	FBgn0038319	mRpL9
JGI_V11_231413	FBgn0261599	RpS29
JGI_V11_194637	FBgn0037902	CG5281
JGI_V11_194635	FBgn0023506	Es2
JGI_V11_305840	FBgn0035121	Tudor-SN
JGI_V11_307206	FBgn0029693	CG6379
JGI_V11_217322	FBgn0040346	CG3704
JGI_V11_229438	FBgn0038852	HHEX
JGI_V11_66107	FBgn0030052	CG12065
JGI_V11_92781	FBgn0032847	Taf13
JGI_V11_301480	FBgn0035484	CG11594
JGI_V11_333951	FBgn0039858	CycG
JGI_V11_108237	FBgn0014135	bnl
JGI_V11_322765	FBgn0032446	CG5780
JGI_V11_306170	FBgn0032395	CG6734
JGI_V11_206490	FBgn0037882	CG17187
JGI_V11_103233	FBgn0041582	tamo
JGI_V11_201727	FBgn0031952	cdc14
JGI_V11_312712	FBgn0031832	CG9596
JGI_V11_312713	FBgn0034184	CG9646
JGI_V11_215551	FBgn0039402	Vps2
JGI_V11_3993	FBgn0004795	retn
JGI_V11_261850	FBgn0023215	Mnt
JGI_V11_304786	FBgn0053526	PNUTS
JGI_V11_304781	FBgn0053096	CG33096
JGI_V11_192774	FBgn0051028	CG31028
JGI_V11_192770	FBgn0015803	RtGEF
JGI_V11_104443	FBgn0000636	Fas3
JGI_V11_230425	FBgn0034902	CG5532
JGI_V11_230426	FBgn0031717	Oscillin
JGI_V11_306634	FBgn0039868	CG11563
JGI_V11_313770	FBgn0034264	CG10933
JGI_V11_60138	FBgn0003415	skd
JGI_V11_186919	FBgn0020370	TppII
JGI_V11_304164	FBgn0053276	CG33276
JGI_V11_218203	FBgn0027525	CG7686
JGI_V11_260672	FBgn0033447	dila
JGI_V11_306646	FBgn0037376	CG2051
JGI_V11_223147	FBgn0011207	pelo
JGI_V11_198635	FBgn0030336	CG1578
JGI_V11_97204	FBgn0263605	l(3)72Dn
JGI_V11_306962	FBgn0029857	wuho
JGI_V11_306516	FBgn0037972	CG10005
JGI_V11_321692	FBgn0032517	CG7099
JGI_V11_303595	FBgn0033208	mRpL52
JGI_V11_331710	FBgn0263400	CG43446
JGI_V11_307928	FBgn0040211	hgo
JGI_V11_49418	FBgn0052226	Pex23
JGI_V11_307927	FBgn0259985	Mppe
JGI_V11_304809	FBgn0038577	CG12321
JGI_V11_322082	FBgn0036849	CG14079
JGI_V11_202142	FBgn0037911	CG10898
JGI_V11_61337	FBgn0030000	CG2260
JGI_V11_238099	FBgn0044871	Gos28
JGI_V11_305975	FBgn0031848	Nse1
JGI_V11_302251	FBgn0037713	CG16790
JGI_V11_299752	FBgn0003449	snf
JGI_V11_313094	FBgn0033687	CG8407
JGI_V11_220942	FBgn0030234	CG15211
JGI_V11_299754	FBgn0001139	gro
JGI_V11_299755	FBgn0001139	gro
JGI_V11_301381	FBgn0035245	GC
JGI_V11_327994	FBgn0030178	CG2974
JGI_V11_327993	FBgn0031006	rictor
JGI_V11_299633	FBgn0011206	bol
JGI_V11_197118	FBgn0035253	CG7971
JGI_V11_299637	FBgn0259676	DNApol-alpha60
JGI_V11_5534	FBgn0037492	CG10050
JGI_V11_330591	FBgn0038814	CG15923
JGI_V11_330596	FBgn0261953	TfAP-2
JGI_V11_330047	FBgn0260487	CG42534
JGI_V11_301694	FBgn0052068	Adi1
JGI_V11_239212	FBgn0039260	Smg6
JGI_V11_47321	FBgn0264386	Ca-alpha1T
JGI_V11_308648	FBgn0029943	Atg5
JGI_V11_59321	FBgn0036811	MED11
JGI_V11_308310	FBgn0020236	ATPCL
JGI_V11_308640	FBgn0026741	mRpL18
JGI_V11_320958	FBgn0002899	mus301
JGI_V11_109043	FBgn0038586	CG7168
JGI_V11_23478	FBgn0263995	cpo
JGI_V11_225892	FBgn0014127	barr
JGI_V11_117664	FBgn0263400	CG43446
JGI_V11_231603	FBgn0085342	CG34313
JGI_V11_194862	FBgn0031298	Atg4a
JGI_V11_189566	FBgn0026582	Hmg-2
JGI_V11_310443	FBgn0035917	Zasp66
JGI_V11_227532	FBgn0025286	RpL31
JGI_V11_341412	FBgn0037901	CG6744
JGI_V11_304317	FBgn0085415	CG34386
JGI_V11_305379	FBgn0001078	ftz-f1
JGI_V11_231273	FBgn0040534	CG11985
JGI_V11_54689	FBgn0023181	Orc4
JGI_V11_301185	FBgn0034585	Rbpn-5
JGI_V11_43049	FBgn0051126	CG31126
JGI_V11_230893	FBgn0036213	RpL10Ab
JGI_V11_95199	FBgn0031257	CG4133
JGI_V11_311923	FBgn0026207	mbo
JGI_V11_305190	FBgn0037747	CG8481
JGI_V11_56912	FBgn0250755	CG42233
JGI_V11_310030	FBgn0033225	CG1550
JGI_V11_39415	FBgn0005386	ash1
JGI_V11_56750	FBgn0034286	dpr13
JGI_V11_307826	FBgn0040650	CG15456
JGI_V11_203518	FBgn0037892	mRpL40
JGI_V11_327348	FBgn0039000	
JGI_V11_230099	FBgn0052174	CG32174
JGI_V11_210838	FBgn0036897	CG8786
JGI_V11_231858	FBgn0033162	
JGI_V11_322483	FBgn0031589	CG3714
JGI_V11_322486	FBgn0037712	CG16789
JGI_V11_222176	FBgn0036734	CG7564
JGI_V11_309730	FBgn0264075	tgo
JGI_V11_64332	FBgn0259211	grh
JGI_V11_222793	FBgn0038989	CG6937
JGI_V11_301505	FBgn0042112	mRpL36
JGI_V11_260244	FBgn0030504	CG2691
JGI_V11_300115	FBgn0025777	homer
JGI_V11_62657	FBgn0259222	CG42322
JGI_V11_20391	FBgn0033212	LRR
JGI_V11_301443	FBgn0032340	Ge-1
JGI_V11_301444	FBgn0033936	CG17386
JGI_V11_328087	FBgn0039527	CG5639
JGI_V11_41772	FBgn0261931	CG42797
JGI_V11_44227	FBgn0040281	Aplip1
JGI_V11_307710	FBgn0037019	Pex16
JGI_V11_316262	FBgn0038577	CG12321
JGI_V11_311543	FBgn0039589	CG9986
JGI_V11_33990	FBgn0035839	CG7550
JGI_V11_226467	FBgn0037249	eIF3-S10
JGI_V11_231471	FBgn0036173	CG7394
JGI_V11_304717	FBgn0039044	p53
JGI_V11_300668	FBgn0051133	Slimp
JGI_V11_305466	FBgn0031461	daw
JGI_V11_313052	FBgn0034307	CG10914
JGI_V11_189775	FBgn0029117	Surf1
JGI_V11_51223	FBgn0039294	Cad96Cb
JGI_V11_307120	FBgn0024191	sip1
JGI_V11_307126	FBgn0011836	Taf2
JGI_V11_216872	FBgn0087005	rtp
JGI_V11_100545	FBgn0038881	CG16791
JGI_V11_54191	FBgn0027330	l(1)G0020
JGI_V11_208978	FBgn0031037	CG14207
JGI_V11_244919	FBgn0034081	CG10731
JGI_V11_325205	FBgn0035469	CG14977
JGI_V11_325206	FBgn0039201	CG13617
JGI_V11_220148	FBgn0033376	CG8777
JGI_V11_61357	FBgn0031765	CG9109
JGI_V11_91859	FBgn0037883	CG14701
JGI_V11_60333	FBgn0025726	unc-13
JGI_V11_322454	FBgn0034113	CG8060
JGI_V11_304763	FBgn0031474	CG2991
JGI_V11_337041	FBgn0036487	Prp31
JGI_V11_308451	FBgn0011659	Mlh1
JGI_V11_306613	FBgn0033272	RagC-D
JGI_V11_308455	FBgn0030955	CG6891
JGI_V11_304990	FBgn0039417	CG6073
JGI_V11_308458	FBgn0003165	pum
JGI_V11_308105	FBgn0039741	CG7943
JGI_V11_27152	FBgn0033685	OSCP1
JGI_V11_309508	FBgn0030141	Gga
JGI_V11_222783	FBgn0036958	CG17233
JGI_V11_222781	FBgn0036198	crim
JGI_V11_304101	FBgn0038046	CG5641
JGI_V11_304106	FBgn0250830	CG12547
JGI_V11_340635	FBgn0020660	eIF-4B
JGI_V11_326757	FBgn0037023	CG3698
JGI_V11_326754	FBgn0000376	crm
JGI_V11_39904	FBgn0046296	CG11534
JGI_V11_328334	FBgn0034158	CG5522
JGI_V11_328339	FBgn0265778	PDZ-GEF
JGI_V11_129273	FBgn0034138	RpS15
JGI_V11_61826	FBgn0261698	CG42732
JGI_V11_223164	FBgn0040087	p115
JGI_V11_250400	FBgn0039113	CG10217
JGI_V11_12109	FBgn0027539	CG5807
JGI_V11_310869	FBgn0040899	CG17776
JGI_V11_227674	FBgn0039828	CG1542
JGI_V11_105731	FBgn0263832	Rcd5
JGI_V11_57303	FBgn0082582	tmod
JGI_V11_99081	FBgn0000667	Actn
JGI_V11_10162	FBgn0010355	Taf1
JGI_V11_300526	FBgn0033942	Cpr51A
JGI_V11_208374	FBgn0260407	mRpS23
JGI_V11_48309	FBgn0000564	Eh
JGI_V11_44682	FBgn0002932	neur
JGI_V11_307906	FBgn0259166	CG42271
JGI_V11_226070	FBgn0034641	mahj
JGI_V11_211441	FBgn0262115	CG17683
JGI_V11_302484	FBgn0259176	bun
JGI_V11_303219	FBgn0050421	Usp15-31
JGI_V11_310999	FBgn0037363	Atg17
JGI_V11_18361	FBgn0003175	px
JGI_V11_199569	FBgn0036451	CG9425
JGI_V11_317675	FBgn0038396	CG5013
JGI_V11_312280	FBgn0026702	l(1)G0045
JGI_V11_317673	FBgn0015477	Rme-8
JGI_V11_303575	FBgn0038454	CG10324
JGI_V11_303572	FBgn0027490	D12
JGI_V11_190829	FBgn0031020	Nat1
JGI_V11_330020	FBgn0014395	tilB
JGI_V11_324995	FBgn0034452	Oseg6
JGI_V11_299612	FBgn0039702	Vps16B
JGI_V11_305162	FBgn0035483	Mul1
JGI_V11_252093	FBgn0038744	CG4733
JGI_V11_47307	FBgn0020379	Rfx
JGI_V11_47657	FBgn0040022	Set1
JGI_V11_47656	FBgn0028421	Kap3
JGI_V11_188369	FBgn0025720	Ate1
JGI_V11_319459	FBgn0041588	eIF2D
JGI_V11_303102	FBgn0026432	Grip163
JGI_V11_306420	FBgn0032741	Sidpn
JGI_V11_306295	FBgn0037608	mRpL19
JGI_V11_245491	FBgn0000615	exu
JGI_V11_308593	FBgn0039291	CG13663
JGI_V11_231621	FBgn0052831	CG33695
JGI_V11_94960	FBgn0030889	CG15373
JGI_V11_50175	FBgn0039271	CG11839
JGI_V11_249030	FBgn0261258	rgn
JGI_V11_304371	FBgn0037688	CG9356
JGI_V11_304370	FBgn0038427	ema
JGI_V11_304377	FBgn0026238	gus
JGI_V11_304379	FBgn0035591	CG4611
JGI_V11_308843	FBgn0030964	Pvf1
JGI_V11_308847	FBgn0030174	CG15312
JGI_V11_305429	FBgn0030790	CG4768
JGI_V11_302434	FBgn0038585	Non3
JGI_V11_302435	FBgn0039969	Fis1
JGI_V11_305420	FBgn0032906	RPA2
JGI_V11_315242	FBgn0085387	shakB
JGI_V11_2216	FBgn0262735	Imp
JGI_V11_299504	FBgn0003742	tra2
JGI_V11_93571	FBgn0016687	Nurf-38
JGI_V11_230879	FBgn0039835	mRpL32
JGI_V11_190018	FBgn0264357	SNF4Agamma
JGI_V11_323714	FBgn0038735	CG4662
JGI_V11_41973	FBgn0037338	Snm1
JGI_V11_235628	FBgn0260655	l(3)76BDm
JGI_V11_11648	FBgn0032225	CG5022
JGI_V11_224315	FBgn0031057	Ubqn
JGI_V11_299821	FBgn0034938	CG3803
JGI_V11_227119	FBgn0028734	Fmr1
JGI_V11_220367	FBgn0261641	CG42724
JGI_V11_306991	FBgn0030245	CG1637
JGI_V11_303742	FBgn0015766	Msr-110
JGI_V11_301525	FBgn0038890	CG7956
JGI_V11_301521	FBgn0030877	Arp8
JGI_V11_128719	FBgn0264325	Atg6
JGI_V11_198770	FBgn0085484	Pdxk
JGI_V11_20910	FBgn0034540	Lrt
JGI_V11_304900	FBgn0037664	CG8420
JGI_V11_304906	FBgn0035318	CG9018
JGI_V11_301427	FBgn0017430	Nelf-E
JGI_V11_307392	FBgn0035235	CG7879
JGI_V11_325002	FBgn0265182	CG44247
JGI_V11_54505	FBgn0250876	Sema-5c
JGI_V11_210457	FBgn0029512	Aos1
JGI_V11_213768	FBgn0004889	tws
JGI_V11_52062	FBgn0034301	CG5756
JGI_V11_306002	FBgn0001291	Jra
JGI_V11_304899	FBgn0262126	Sec24CD
JGI_V11_305324	FBgn0002552	lin
JGI_V11_331033	FBgn0024558	Dph5
JGI_V11_226991	FBgn0004406	tam
JGI_V11_312346	FBgn0038827	Fancd2
JGI_V11_302198	FBgn0001297	kay
JGI_V11_335234	FBgn0032512	CG9305
JGI_V11_306678	FBgn0039859	CG11539
JGI_V11_319732	FBgn0035879	GAPcenA
JGI_V11_199801	FBgn0051915	CG31915
JGI_V11_319843	FBgn0042180	CG18870
JGI_V11_218385	FBgn0029800	lin-52
JGI_V11_92293	FBgn0026089	CG14817
JGI_V11_113026	FBgn0037026	CG3634
JGI_V11_258445	FBgn0263038	CG43333
JGI_V11_312757	FBgn0036932	CG14184
JGI_V11_32877	FBgn0260749	Utx
JGI_V11_228708	FBgn0037141	DNApol-eta
JGI_V11_304748	FBgn0033209	CG12107
JGI_V11_230460	FBgn0020907	Scp2
JGI_V11_230465	FBgn0040751	CG13018
JGI_V11_304740	FBgn0262716	Arp3
JGI_V11_304291	FBgn0040705	ND-B8
JGI_V11_96198	FBgn0028387	chm
JGI_V11_307435	FBgn0052409	CG32409
JGI_V11_307434	FBgn0036194	CG11652
JGI_V11_306515	FBgn0028331	l(1)G0289
JGI_V11_220693	FBgn0000116	Argk
JGI_V11_318645	FBgn0033373	CG8080
JGI_V11_308439	FBgn0034894	sigmar
JGI_V11_318642	FBgn0038961	CG13850
JGI_V11_308434	FBgn0030915	CG6179
JGI_V11_41604	FBgn0085442	NKAIN
JGI_V11_306670	FBgn0039136	CG5902
JGI_V11_203319	FBgn0034242	CG14480
JGI_V11_56271	FBgn0032940	Mondo
JGI_V11_127521	FBgn0038856	
JGI_V11_191004	FBgn0036571	Strumpellin
JGI_V11_48341	FBgn0085414	dpr12
JGI_V11_231335	FBgn0037045	CG10584
JGI_V11_22257	FBgn0032230	lft
JGI_V11_101871	FBgn0260938	tay
JGI_V11_305656	FBgn0039188	Golgin84
JGI_V11_305651	FBgn0039738	Mgat2
JGI_V11_212918	FBgn0020655	ArfGAP1
JGI_V11_309825	FBgn0086129	snama
JGI_V11_96763	FBgn0052225	CG32225
JGI_V11_251999	FBgn0031602	CG15431
JGI_V11_41099	FBgn0036188	CG7339
JGI_V11_317694	FBgn0031413	CG9967
JGI_V11_317695	FBgn0028530	mTTF
JGI_V11_220901	FBgn0035947	Srp68
JGI_V11_299797	FBgn0036853	mRpL21
JGI_V11_94742	FBgn0031660	mRpL28
JGI_V11_6311	FBgn0032196	CG5708
JGI_V11_113993	FBgn0265991	Zasp52
JGI_V11_305032	FBgn0000244	by
JGI_V11_47496	FBgn0031959	spz3
JGI_V11_234680	FBgn0037028	CG3618
JGI_V11_201152	FBgn0000377	crn
JGI_V11_300923	FBgn0031452	Cwc25
JGI_V11_290571	FBgn0004644	hh
JGI_V11_99608	FBgn0020767	Spred
JGI_V11_231138	FBgn0027654	jdp
JGI_V11_314411	FBgn0030724	Nipsnap
JGI_V11_59407	FBgn0034656	
JGI_V11_242072	FBgn0037962	CG6971
JGI_V11_303160	FBgn0261822	Bsg
JGI_V11_303165	FBgn0036728	UQCR-Q
JGI_V11_303168	FBgn0053094	Synd
JGI_V11_48914	FBgn0029685	CG2938
JGI_V11_59365	FBgn0025809	Paf-AHalpha
JGI_V11_207917	FBgn0003138	
JGI_V11_299896	FBgn0032486	CG5705
JGI_V11_326128	FBgn0033656	S2P
JGI_V11_305865	FBgn0026592	Fie
JGI_V11_302380	FBgn0030035	CG11190
JGI_V11_126738	FBgn0035677	CG13293
JGI_V11_318256	FBgn0003444	smo
JGI_V11_224364	FBgn0035638	Tektin-C
JGI_V11_309950	FBgn0035444	CG12012
JGI_V11_304358	FBgn0004650	fs(1)N
JGI_V11_304350	FBgn0036354	Poc1
JGI_V11_304356	FBgn0031544	CG17593
JGI_V11_317997	FBgn0033033	scaf
JGI_V11_305406	FBgn0026576	CG5991
JGI_V11_305486	FBgn0260812	inaF-D
JGI_V11_327651	FBgn0261885	osa
JGI_V11_96073	FBgn0263510	nclb
JGI_V11_201511	FBgn0034986	mRpS17
JGI_V11_104345	FBgn0035921	CG13305
JGI_V11_51929	FBgn0026319	Traf4
JGI_V11_305487	FBgn0260812	inaF-D
JGI_V11_308572	FBgn0259241	CG42339
JGI_V11_332332	FBgn0023513	CG14803
JGI_V11_106272	FBgn0026577	CG8677
JGI_V11_41955	FBgn0039004	Nup133
JGI_V11_11662	FBgn0026439	Eaat1
JGI_V11_260043	FBgn0260487	CG42534
JGI_V11_220489	FBgn0035107	mri
JGI_V11_220486	FBgn0034060	CG8370
JGI_V11_303761	FBgn0040079	pkaap
JGI_V11_227138	FBgn0035921	CG13305
JGI_V11_227136	FBgn0005633	fln
JGI_V11_306090	FBgn0033737	Nup54
JGI_V11_303769	FBgn0262167	ana1
JGI_V11_55185	FBgn0030662	CG9220
JGI_V11_60693	FBgn0039215	CG6695
JGI_V11_251503	FBgn0263974	qin
JGI_V11_251504	FBgn0263974	qin
JGI_V11_299507	FBgn0004597	CycC
JGI_V11_303490	FBgn0050296	RIC-3
JGI_V11_302379	FBgn0032728	Tango6
JGI_V11_301187	FBgn0000524	dx
JGI_V11_248374	FBgn0052190	NUCB1
JGI_V11_191611	FBgn0263705	Myo10A
JGI_V11_301406	FBgn0023458	Rbcn-3A
JGI_V11_307098	FBgn0264291	Det
