chr start end strand gene gene_start gene_end gene_strand expression promoter
3736 scaffold_19 592309 592351 + JGI_V11_317059 591969 595245 + 277.650852082388 scaffold_12_1924037_1927627_-
3737 scaffold_19 599914 600042 + JGI_V11_317063 599823 605203 + 261.900024663369 scaffold_12_1943633_1944700_-
3741 scaffold_19 624298 624361 + JGI_V11_302792 623922 626724 + 3608.34547136126 scaffold_12_1968345_1970171_+
3742 scaffold_19 624598 624606 + JGI_V11_302792 623922 626724 + 93.1269097758882 scaffold_12_1994687_1996342_+
3743 scaffold_19 633991 634035 + JGI_V11_302793 633591 636336 + 181.339943366087 scaffold_12_1999256_2006444_-
3744 scaffold_19 634329 634332 + JGI_V11_302793 633591 636336 + 8.34682961832102 scaffold_12_2008310_2011546_-
3745 scaffold_19 636147 636237 + JGI_V11_302793 633591 636336 + 1211.09760245536 scaffold_12_2013231_2015882_-
3749 scaffold_19 656608 656609 + JGI_V11_302853 649754 656659 + 5.2502726687661 scaffold_12_2042706_2049094_+
3751 scaffold_19 680475 680523 + JGI_V11_210868 680183 682983 + 219.219835483566 scaffold_12_2054959_2056173_-
3752 scaffold_19 683147 683217 + JGI_V11_317077 682826 687163 + 224.259491449062 scaffold_12_2064238_2065221_-
3753 scaffold_19 687404 687468 + JGI_V11_302856 687059 690381 + 2333.8722564563 scaffold_12_2064427_2066275_-
3754 scaffold_19 688103 688193 + JGI_V11_302856 687059 690381 + 151.036115227471 scaffold_12_2073653_2076154_-
3755 scaffold_19 688536 688537 + JGI_V11_302856 687059 690381 + 26.6920564320662 scaffold_12_2079352_2082781_-
3756 scaffold_19 688715 688717 + JGI_V11_302856 687059 690381 + 5.28129760104328 scaffold_12_2082114_2089748_+
3757 scaffold_19 689052 689071 + JGI_V11_302856 687059 690381 + 6.21451099030911 scaffold_12_2089495_2091626_-
3758 scaffold_19 693757 693792 + JGI_V11_317080 693393 695572 + 135.70720905915 scaffold_12_2090967_2093904_-
3759 scaffold_19 706526 706555 + JGI_V11_128123 706194 709060 + 65.0003361060008 scaffold_12_2093234_2097243_-
3760 scaffold_19 710683 710697 + JGI_V11_302859 710378 715375 + 176.582113113079 scaffold_12_2100025_2101221_+
3761 scaffold_19 717971 718024 + JGI_V11_128126 717915 720440 + 319.858898811482 scaffold_12_2108874_2110503_+
3763 scaffold_19 842652 842754 + JGI_V11_241712 842393 848222 + 102.784973359621 scaffold_12_2111429_2112583_-
3764 scaffold_19 1081742 1081774 + JGI_V11_317126 1081380 1083902 + 60.636108480117 scaffold_12_2117532_2119373_+
3765 scaffold_19 1084838 1084921 + JGI_V11_302813 1084461 1086275 + 212.124135688263 scaffold_12_2121058_2122782_+
3766 scaffold_19 1089596 1089612 + JGI_V11_195849 1089196 1092905 + 339.744721081454 scaffold_12_2123493_2124766_+
3767 scaffold_19 1096561 1096579 + JGI_V11_49394 1096464 1098137 + 57.7605305918806 scaffold_12_2125102_2129832_-
3768 scaffold_19 1099882 1099887 + JGI_V11_317132 1099562 1102311 + 46.2823168282622 scaffold_12_2151194_2153992_+
3769 scaffold_19 1101628 1101629 + JGI_V11_317132 1099562 1102311 + 22.1920499406345 scaffold_12_2161690_2163269_+
3769.1 scaffold_19 1101628 1101629 + JGI_V11_317133 1101444 1104495 + 22.1920499406345 scaffold_12_2161690_2163269_+
3770 scaffold_19 1101820 1101891 + JGI_V11_317132 1099562 1102311 + 28.3363474930827 scaffold_12_2162508_2163585_+
3770.1 scaffold_19 1101820 1101891 + JGI_V11_317133 1101444 1104495 + 28.3363474930827 scaffold_12_2162508_2163585_+
3771 scaffold_19 1106087 1106101 + JGI_V11_317135 1104625 1108164 + 129.9246157635 scaffold_12_2166418_2167619_+
3772 scaffold_19 1112499 1112521 + JGI_V11_230812 1112110 1114945 + 15744.9985106301 scaffold_12_2173346_2175315_+
3773 scaffold_19 1113147 1113160 + JGI_V11_230812 1112110 1114945 + 130.800880224861 scaffold_12_2177368_2178541_-
3774 scaffold_19 1113291 1113304 + JGI_V11_230812 1112110 1114945 + 47.1912046614448 scaffold_12_2188247_2192283_-
3775 scaffold_19 1113429 1113443 + JGI_V11_230812 1112110 1114945 + 5.89307076667243 scaffold_120_-251_2494_+
3776 scaffold_19 1113690 1113693 + JGI_V11_230812 1112110 1114945 + 61.4086264626284 scaffold_120_9397_11929_-
3777 scaffold_19 1113797 1113834 + JGI_V11_230812 1112110 1114945 + 405.74272777122 scaffold_120_11522_15619_+
3778 scaffold_19 1113986 1114128 + JGI_V11_230812 1112110 1114945 + 396.785898450925 scaffold_120_14825_17717_+
3779 scaffold_19 1114267 1114419 + JGI_V11_230812 1112110 1114945 + 332.526253788213 scaffold_120_17102_19056_+
3780 scaffold_19 1117972 1118066 + JGI_V11_49680 1117692 1119315 + 121.593708954998 scaffold_120_22812_24873_-
3783 scaffold_19 1300585 1300630 + JGI_V11_49587 1300220 1301821 + 112.828557662345 scaffold_120_42335_43917_-
3784 scaffold_19 1303470 1303478 + JGI_V11_317161 1302959 1305056 + 395.671777023055 scaffold_120_43868_47518_+
3785 scaffold_19 1303643 1303647 + JGI_V11_317161 1302959 1305056 + 52.0395322560237 scaffold_120_53080_57060_+
3786 scaffold_19 1383997 1384003 + JGI_V11_195921 1383599 1387370 + 46.7747978616303 scaffold_120_56194_58375_-
3787 scaffold_19 1387001 1387058 + JGI_V11_195921 1383599 1387370 + 199.758531071125 scaffold_120_57807_60556_+
3788 scaffold_19 1399050 1399070 + JGI_V11_102038 1398666 1401376 + 12.5907478795375 scaffold_120_61213_63436_+
3789 scaffold_19 3641 3662 - JGI_V11_317004 1395 3930 - 1044.27978167609 scaffold_120_91807_92868_+
3794 scaffold_19 222955 222981 - JGI_V11_302834 218618 223296 - 36.1606307095907 scaffold_120_154857_156595_-
3796 scaffold_19 233837 233894 - JGI_V11_302835 233884 238057 - 897.562991467906 scaffold_120_165713_168780_+
3797 scaffold_19 237538 237684 - JGI_V11_302835 233884 238057 - 569.1493318821 scaffold_120_191523_193193_+
3798 scaffold_19 250631 250706 - JGI_V11_210805 247555 250863 - 340.614147579778 scaffold_120_210127_224421_-
3799 scaffold_19 300403 300436 - JGI_V11_317019 290844 300834 - 257.918760739363 scaffold_120_230167_231273_-
3801 scaffold_19 384168 384178 - JGI_V11_317030 358893 384545 - 367.283872594318 scaffold_120_245875_247204_-
3802 scaffold_19 385168 385204 - JGI_V11_223930 384258 387303 - 119.369138756898 scaffold_120_246462_248945_-
3803 scaffold_19 386853 386947 - JGI_V11_223930 384258 387303 - 117.847996865669 scaffold_120_248277_251813_+
3805 scaffold_19 423175 423248 - JGI_V11_317034 421013 423558 - 229.142665303417 scaffold_120_275885_277144_-
3806 scaffold_19 428008 428041 - JGI_V11_49601 426450 428249 - 88.4892594028818 scaffold_120_287546_288905_-
3808 scaffold_19 449915 450000 - JGI_V11_302845 449196 452473 - 15.3866084295516 scaffold_120_298721_302247_-
3809 scaffold_19 450394 450413 - JGI_V11_302845 449196 452473 - 11.0702278202014 scaffold_120_305390_307655_+
3810 scaffold_19 452158 452163 - JGI_V11_302845 449196 452473 - 784.521899828773 scaffold_120_310138_311280_+
3812 scaffold_19 488485 488551 - JGI_V11_302780 487583 488937 - 106.901535876517 scaffold_120_312622_313791_+
3813 scaffold_19 504834 504895 - JGI_V11_187989 500261 505162 - 158.894622150178 scaffold_120_313533_315749_+
3815 scaffold_19 562747 562750 - JGI_V11_49671 561758 562912 - 72.3508942486546 scaffold_120_319184_321504_-
3816 scaffold_19 569881 569950 - JGI_V11_210838 568131 570319 - 394.021635063632 scaffold_120_321106_323318_-
3817 scaffold_19 576258 576334 - JGI_V11_101871 570441 576314 - 563.326844113777 scaffold_120_323165_325854_+
3818 scaffold_19 583122 583142 - JGI_V11_101872 576861 583183 - 1238.46799177073 scaffold_120_325183_326596_-
3819 scaffold_19 598924 598950 - JGI_V11_302788 597804 599870 - 53.1249052342879 scaffold_120_326226_327425_+
3820 scaffold_19 599389 599470 - JGI_V11_302788 597804 599870 - 12807.1468895708 scaffold_120_326972_330001_-
3821 scaffold_19 606223 606229 - JGI_V11_223957 604391 606629 - 54.983209999678 scaffold_120_329825_331986_+
3823 scaffold_19 631532 631538 - JGI_V11_317068 628775 631733 - 257.865943016134 scaffold_120_333608_336356_+
3824 scaffold_19 677543 677544 - JGI_V11_101895 667306 677776 - 14.9666147875477 scaffold_120_338549_340519_+
3826 scaffold_19 693293 693344 - JGI_V11_302857 690026 693530 - 263.227699743095 scaffold_120_347417_348896_+
3828 scaffold_19 706304 706336 - JGI_V11_302797 705075 706717 - 102.797193382525 scaffold_120_350019_351996_-
3829 scaffold_19 709220 709233 - JGI_V11_49678 708430 710127 - 39.7131965330113 scaffold_120_351410_352601_-
3830 scaffold_19 709880 709921 - JGI_V11_49678 708430 710127 - 337.255335452783 scaffold_120_352555_357509_+
3831 scaffold_19 842266 842340 - JGI_V11_317092 822820 842673 - 1059.30218751537 scaffold_1200_1937_3212_+
3834 scaffold_19 935941 935956 - JGI_V11_195819 931773 936345 - 125.582568464057 scaffold_12010_-265_1504_+
3835 scaffold_19 939437 939438 - JGI_V11_302865 936052 939675 - 21.1373844454487 scaffold_1202_359_2251_-
3836 scaffold_19 940478 940479 - JGI_V11_302804 940437 943330 - 11.1000411858822 scaffold_1203_5650_10971_-
3837 scaffold_19 942910 942981 - JGI_V11_302804 940437 943330 - 1980.97233229718 scaffold_12031_-216_1145_+
3837.1 scaffold_19 942910 942981 - JGI_V11_302866 942806 946022 - 1980.97233229718 scaffold_12031_-216_1145_+
3838 scaffold_19 945651 945694 - JGI_V11_302866 942806 946022 - 351.816363070683 scaffold_12031_412_1500_-
3839 scaffold_19 947980 948089 - JGI_V11_49603 946423 948356 - 769.395941515709 scaffold_12035_-386_1275_-
3840 scaffold_19 967210 967259 - JGI_V11_302806 966126 967660 - 210.528622916503 scaffold_1205_180_3171_+
3841 scaffold_19 1015957 1016112 - JGI_V11_128134 1013788 1016238 - 189.630342298431 scaffold_1205_6872_9697_+
3842 scaffold_19 1070607 1070641 - JGI_V11_302807 1068831 1071039 - 195.028408447234 scaffold_12058_-178_1508_+
3842.1 scaffold_19 1070607 1070641 - JGI_V11_317120 1070612 1073518 - 195.028408447234 scaffold_12058_-178_1508_+
3843 scaffold_19 1075924 1075933 - JGI_V11_36719 1075892 1077028 - 237.145915851298 scaffold_12063_58_1299_-
3844 scaffold_19 1076769 1076791 - JGI_V11_36719 1075892 1077028 - 101.444603563246 scaffold_12065_-148_1450_-
3845 scaffold_19 1079733 1079796 - JGI_V11_302810 1079690 1082051 - 596.470420401117 scaffold_12071_-152_1200_+
3846 scaffold_19 1081659 1081674 - JGI_V11_302810 1079690 1082051 - 80.4405310622881 scaffold_12076_-133_835_-
3847 scaffold_19 1099506 1099520 - JGI_V11_210946 1098180 1099892 - 5.15816262194564 scaffold_1208_-119_1816_-
3848 scaffold_19 1117899 1117904 - JGI_V11_302875 1114216 1118304 - 54.4169554313336 scaffold_1208_5272_7326_-
3849 scaffold_19 1123293 1123327 - JGI_V11_49418 1121694 1123671 - 5.36352983603945 scaffold_1209_8555_9878_+
3850 scaffold_19 1143147 1143184 - JGI_V11_230815 1141898 1150066 - 194.020965804966 scaffold_12098_-382_673_-
3851 scaffold_19 1143695 1143705 - JGI_V11_230815 1141898 1150066 - 40.4901576778028 scaffold_121_19024_20382_+
3852 scaffold_19 1145254 1145356 - JGI_V11_230815 1141898 1150066 - 127.74473747309 scaffold_121_19640_21584_-
3853 scaffold_19 1149593 1149724 - JGI_V11_230815 1141898 1150066 - 6139.13242899919 scaffold_121_23313_25323_+
3857 scaffold_19 1234114 1234117 - JGI_V11_302881 1230369 1234491 - 34.6696051575983 scaffold_121_43678_45723_+
3858 scaffold_19 1234331 1234408 - JGI_V11_302881 1230369 1234491 - 841.297166801983 scaffold_121_45075_47478_-
3859 scaffold_19 1236766 1236827 - JGI_V11_302820 1235631 1237203 - 516.928300048315 scaffold_121_47990_50142_+
3860 scaffold_19 1238179 1238180 - JGI_V11_302821 1236945 1238584 - 56.5835476018121 scaffold_121_49892_51296_+
3860.1 scaffold_19 1238179 1238180 - JGI_V11_302882 1238054 1243096 - 56.5835476018121 scaffold_121_49892_51296_+
3861 scaffold_19 1295802 1295909 - JGI_V11_230818 1294377 1296238 - 1448.78412858952 scaffold_121_50528_57786_-
3862 scaffold_19 1297750 1297751 - JGI_V11_302823 1296952 1300032 - 11.3074509933318 scaffold_121_60033_62655_-
3863 scaffold_19 1298048 1298058 - JGI_V11_302823 1296952 1300032 - 41.8326015567874 scaffold_121_63008_65866_-
3864 scaffold_19 1298209 1298210 - JGI_V11_302823 1296952 1300032 - 5.61893601870799 scaffold_121_65192_69230_-
3865 scaffold_19 1298381 1298555 - JGI_V11_302823 1296952 1300032 - 1232.81882854057 scaffold_121_70011_73344_-
3866 scaffold_19 1299629 1299659 - JGI_V11_302823 1296952 1300032 - 81.4035126083106 scaffold_121_73744_76264_+
3867 scaffold_19 1303320 1303375 - JGI_V11_210994 1301039 1303756 - 303.864941789115 scaffold_121_75500_79037_-
3869 scaffold_19 1342716 1342739 - JGI_V11_302885 1340742 1343130 - 73.4183145632916 scaffold_121_79086_81141_-
3870 scaffold_19 1374734 1374738 - JGI_V11_317166 1355874 1375162 - 5.3573370606113 scaffold_121_80483_83627_+
3871 scaffold_19 1379844 1379875 - JGI_V11_210998 1376317 1380267 - 244.556691539981 scaffold_121_83126_86576_-
3872 scaffold_19 1383920 1383931 - JGI_V11_49574 1383123 1384243 - 186.591591229363 scaffold_121_86145_88813_-
3873 scaffold_19 1393582 1393683 - JGI_V11_302828 1391149 1394062 - 960.383415327727 scaffold_121_88313_96106_+
3875 scaffold_19 1404583 1404622 - JGI_V11_302891 1404372 1407291 - 285.507487294601 scaffold_121_109341_115318_-
3876 scaffold_19 1406884 1406914 - JGI_V11_302891 1404372 1407291 - 12.3842834378683 scaffold_121_115231_117202_-
3877 scaffold_190 77253 77296 + JGI_V11_64901 77116 78290 + 355.823959200408 scaffold_121_116863_119426_-
3878 scaffold_190 78484 78554 - JGI_V11_219114 78225 81732 - 125.782848903917 scaffold_121_119630_120700_-
3879 scaffold_190 81270 81341 - JGI_V11_219114 78225 81732 - 396.883824493501 scaffold_121_120637_123564_-
3880 scaffold_190 87804 87812 - JGI_V11_302897 85662 88211 - 1236.13233957926 scaffold_121_123889_128826_-
3882 scaffold_191 27903 27940 + JGI_V11_229485 25924 28196 + 59.5096864989842 scaffold_121_132108_133705_-
3882.1 scaffold_191 27903 27940 + JGI_V11_302911 27724 31677 + 59.5096864989842 scaffold_121_132108_133705_-
3884 scaffold_191 49932 49993 + JGI_V11_302914 49578 57321 + 236.790547944201 scaffold_121_138110_140412_-
3885 scaffold_191 84267 84370 + JGI_V11_302915 74660 89303 + 149.597351528986 scaffold_121_139697_146330_-
3888 scaffold_191 192233 192277 + JGI_V11_302909 191853 194235 + 71.0845955391253 scaffold_121_151155_152897_+
3893 scaffold_191 112252 112272 - JGI_V11_332423 111153 125019 - 41.0265850003278 scaffold_121_199937_201908_-
3894 scaffold_191 118950 118960 - JGI_V11_332423 111153 125019 - 164.114671590056 scaffold_121_209568_212619_-
3895 scaffold_191 120265 120271 - JGI_V11_332423 111153 125019 - 186.837243513734 scaffold_121_214916_216067_-
3896 scaffold_191 124624 124697 - JGI_V11_332423 111153 125019 - 517.564928896319 scaffold_121_220751_227091_+
3897 scaffold_191 127898 127993 - JGI_V11_219129 125320 128380 - 734.09063674655 scaffold_121_231125_234219_+
3898 scaffold_191 132727 132820 - JGI_V11_332425 128721 133055 - 185.141953408529 scaffold_121_233620_234908_+
3899 scaffold_191 134936 135000 - JGI_V11_302905 132823 135394 - 154.205353671044 scaffold_121_234305_236110_+
3900 scaffold_191 158710 158714 - JGI_V11_302907 158465 160070 - 74.4585561430617 scaffold_121_237449_240347_+
3901 scaffold_191 159675 159689 - JGI_V11_302907 158465 160070 - 175.261507354289 scaffold_121_241870_243585_-
3903 scaffold_192 89276 89284 + JGI_V11_302923 89237 104182 + 116.169641690318 scaffold_121_246244_248774_+
3905 scaffold_192 48618 48634 - JGI_V11_332445 45969 48912 - 206.167389570604 scaffold_121_261314_265018_+
3906 scaffold_192 107040 107042 - JGI_V11_332455 106008 107115 - 165.176898772538 scaffold_121_264435_266513_+
3908 scaffold_193 29687 29728 - JGI_V11_263601 23477 32200 - 104.053025740745 scaffold_121_268754_272701_-
3910 scaffold_193 54723 54745 - JGI_V11_116669 51912 54813 - 144.806808872455 scaffold_121_282583_284300_+
3914 scaffold_197 62243 62250 - JGI_V11_263760 54749 64393 - 159.732043068625 scaffold_121_297029_303406_-
3916 scaffold_197 151334 151338 - JGI_V11_332604 147883 152605 - 11.1566744697865 scaffold_121_305918_309372_-
3920 scaffold_198 95795 95822 - JGI_V11_302941 93293 96210 - 154.468124514317 scaffold_121_315875_317363_-
3921 scaffold_199 42180 42217 + JGI_V11_130409 41881 44550 + 221.02626158296 scaffold_121_317529_319735_-
3922 scaffold_199 13248 13363 - JGI_V11_204206 10090 13401 - 426.525081115906 scaffold_121_319514_320470_-
3924 scaffold_199 49825 49956 - JGI_V11_332624 44281 50292 - 144.065321932056 scaffold_121_342360_343757_+
3925 scaffold_199 72962 72963 - JGI_V11_263832 72525 79167 - 9.10832484817609 scaffold_121_343797_345342_+
3927 scaffold_1994 7153 7154 + JGI_V11_271748 4059 7287 + 40.2147047207356 scaffold_121_350650_356275_+
3928 scaffold_2 29114 29136 + JGI_V11_310076 28830 32302 + 37.8625877923049 scaffold_121_356311_358871_-
3929 scaffold_2 36413 36501 + JGI_V11_220308 36027 37955 + 237.007103767596 scaffold_121_358541_360300_-
3931 scaffold_2 96480 96496 + JGI_V11_310092 96141 97617 + 2922.10120379913 scaffold_121_362998_364665_+
3932 scaffold_2 96933 96939 + JGI_V11_310092 96141 97617 + 69.9441458849818 scaffold_121_363965_366118_-
3933 scaffold_2 103551 103554 + JGI_V11_40603 97448 104673 + 35.0947932861334 scaffold_121_365347_366392_-
3934 scaffold_2 105816 105869 + JGI_V11_310096 105405 108243 + 358.693078420138 scaffold_121_366104_367372_-
3936 scaffold_2 162491 162493 + JGI_V11_220319 161447 164184 + 85.7647678013296 scaffold_121_369241_371160_-
3937 scaffold_2 186235 186240 + JGI_V11_232829 185082 188527 + 207.157665715559 scaffold_121_370356_373143_-
3938 scaffold_2 203520 203538 + JGI_V11_230133 200931 203792 + 42.5806518477321 scaffold_121_373341_375596_+
3938.1 scaffold_2 203520 203538 + JGI_V11_303102 203194 207941 + 42.5806518477321 scaffold_121_373341_375596_+
3939 scaffold_2 217192 217201 + JGI_V11_232839 216935 225607 + 122.857494881353 scaffold_121_375194_379807_+
3940 scaffold_2 226438 226475 + JGI_V11_220335 226041 229407 + 340.726838647261 scaffold_1211_26690_32621_+
3942 scaffold_2 235371 235376 + JGI_V11_94605 234689 236448 + 28.5176532357322 scaffold_12113_-238_1450_-
3943 scaffold_2 239058 239060 + JGI_V11_190431 236104 258569 + 64.6387281828238 scaffold_1212_6265_7450_-
3944 scaffold_2 249599 249677 + JGI_V11_190431 236104 258569 + 231.816950422205 scaffold_1212_7764_9718_+
3945 scaffold_2 252250 252303 + JGI_V11_190431 236104 258569 + 650.757428587476 scaffold_1212_8907_11448_+
3946 scaffold_2 252543 252544 + JGI_V11_190431 236104 258569 + 11.4526932906964 scaffold_1213_8199_11691_-
3947 scaffold_2 255662 255695 + JGI_V11_190431 236104 258569 + 375.207354663169 scaffold_12130_-233_849_+
3948 scaffold_2 256387 256391 + JGI_V11_190431 236104 258569 + 32.4037700860295 scaffold_12130_59_1443_+
3949 scaffold_2 256679 256683 + JGI_V11_190431 236104 258569 + 13.2153154555599 scaffold_12145_73_1500_-
3950 scaffold_2 257651 257700 + JGI_V11_190431 236104 258569 + 76.9129901064784 scaffold_1215_39_2506_+
3951 scaffold_2 274177 274250 + JGI_V11_205588 273777 275981 + 583.493453663501 scaffold_1216_772_2135_+
3952 scaffold_2 343038 343048 + JGI_V11_310130 342648 344482 + 3327.63692099615 scaffold_1216_1823_3855_+
3953 scaffold_2 343181 343185 + JGI_V11_310130 342648 344482 + 99.460716021857 scaffold_1216_4269_5303_+
3954 scaffold_2 343340 343345 + JGI_V11_310130 342648 344482 + 5.06753872398273 scaffold_1216_4533_5860_+
3955 scaffold_2 343768 343859 + JGI_V11_310130 342648 344482 + 443.566357738875 scaffold_1216_5264_6773_+
3956 scaffold_2 388352 388357 + JGI_V11_205604 387951 390026 + 5.15816262194564 scaffold_1216_6903_8777_+
3957 scaffold_2 432261 432308 + JGI_V11_230136 431861 433406 + 357.84720864599 scaffold_12169_49_1464_-
3958 scaffold_2 437233 437304 + JGI_V11_303112 436891 441287 + 988.178556026588 scaffold_1219_2923_4615_+
3959 scaffold_2 438590 438591 + JGI_V11_303112 436891 441287 + 13.643979014567 scaffold_122_-374_837_+
3960 scaffold_2 438941 438954 + JGI_V11_303112 436891 441287 + 71.5063286324008 scaffold_122_26997_28638_-
3961 scaffold_2 439475 439491 + JGI_V11_303112 436891 441287 + 5.72852203580657 scaffold_122_29036_30437_+
3962 scaffold_2 442941 442942 + JGI_V11_303113 441939 443794 + 5.28786649459068 scaffold_122_40048_53015_+
3963 scaffold_2 462585 462617 + JGI_V11_1152 462279 465087 + 50.3894365818488 scaffold_122_57812_59902_+
3966 scaffold_2 550405 550440 + JGI_V11_220366 546260 550448 + 256.236119004447 scaffold_122_75508_79001_+
3966.1 scaffold_2 550405 550440 + JGI_V11_220367 550134 557752 + 256.236119004447 scaffold_122_75508_79001_+
3968 scaffold_2 586190 586195 + JGI_V11_94673 586164 588050 + 100.903579912169 scaffold_122_80090_82529_+
3969 scaffold_2 613854 613935 + JGI_V11_190490 613523 616087 + 218.093474721248 scaffold_122_82803_84437_-
3970 scaffold_2 628960 628976 + JGI_V11_303121 628834 631602 + 208.111988800953 scaffold_122_100337_101856_-
3971 scaffold_2 681131 681138 + JGI_V11_303125 680884 685046 + 108.402809657615 scaffold_122_101261_105439_-
3972 scaffold_2 694318 694321 + JGI_V11_94696 694204 696048 + 18.8056800337899 scaffold_122_119876_123058_-
3973 scaffold_2 720298 720306 + JGI_V11_205678 719007 722554 + 365.377244762871 scaffold_122_134366_135622_+
3974 scaffold_2 725707 725741 + JGI_V11_310202 725377 734353 + 151.130715010384 scaffold_122_136361_137881_+
3976 scaffold_2 810024 810122 + JGI_V11_303131 809784 813651 + 370.705535819574 scaffold_122_153229_154561_-
3977 scaffold_2 811375 811378 + JGI_V11_303131 809784 813651 + 34.1958304100773 scaffold_122_173134_175557_-
3978 scaffold_2 824978 824992 + JGI_V11_232979 824724 828646 + 230.616855388164 scaffold_122_204411_206608_-
3979 scaffold_2 828320 828380 + JGI_V11_232979 824724 828646 + 712.546020974884 scaffold_122_209851_213414_-
3979.1 scaffold_2 828320 828380 + JGI_V11_205698 827938 829898 + 712.546020974884 scaffold_122_209851_213414_-
3980 scaffold_2 828918 828920 + JGI_V11_205698 827938 829898 + 5.3573370606113 scaffold_122_212635_214397_-
3981 scaffold_2 829748 829864 + JGI_V11_205698 827938 829898 + 1074.18203210755 scaffold_122_222825_223916_+
3981.1 scaffold_2 829748 829864 + JGI_V11_190546 829404 831822 + 1074.18203210755 scaffold_122_222825_223916_+
3982 scaffold_2 829990 829994 + JGI_V11_190546 829404 831822 + 113.278491486338 scaffold_122_242650_253019_-
3983 scaffold_2 849824 849841 + JGI_V11_303133 849567 853258 + 54.6772106616715 scaffold_122_257768_259887_+
3984 scaffold_2 856279 856280 + JGI_V11_232987 853159 860032 + 16.6205386017387 scaffold_122_260141_264125_-
3985 scaffold_2 884673 884754 + JGI_V11_94742 884382 886084 + 201.950248158482 scaffold_122_263970_265112_+
3986 scaffold_2 939486 939526 + JGI_V11_303137 939207 942807 + 157.827075435347 scaffold_122_264530_266443_-
3987 scaffold_2 957940 957947 + JGI_V11_233011 947945 974508 + 234.930045316548 scaffold_122_291266_293861_-
3990 scaffold_2 1039769 1039775 + JGI_V11_205726 1039384 1041314 + 224.781283220566 scaffold_122_309378_311544_+
3991 scaffold_2 1046968 1047045 + JGI_V11_220418 1046640 1049311 + 989.460681149029 scaffold_122_313426_321565_+
3992 scaffold_2 1050427 1050458 + JGI_V11_303010 1048649 1050635 + 159.440328801666 scaffold_122_320797_322710_-
3992.1 scaffold_2 1050427 1050458 + JGI_V11_233023 1050133 1052491 + 159.440328801666 scaffold_122_320797_322710_-
3993 scaffold_2 1052065 1052072 + JGI_V11_233023 1050133 1052491 + 312.698470583885 scaffold_122_325461_328456_+
3997 scaffold_2 1075322 1075458 + JGI_V11_94765 1074935 1078857 + 178.859140300273 scaffold_122_373265_375605_+
3998 scaffold_2 1076914 1076931 + JGI_V11_94765 1074935 1078857 + 3348.59770067034 scaffold_122_377374_378500_-
3999 scaffold_2 1077494 1077591 + JGI_V11_94765 1074935 1078857 + 19.0141064550624 scaffold_1220_33662_36927_-
4000 scaffold_2 1078061 1078064 + JGI_V11_94765 1074935 1078857 + 11.0169663986026 scaffold_12201_-112_1417_+
4001 scaffold_2 1082138 1082151 + JGI_V11_205741 1081750 1084827 + 60.1189205911422 scaffold_1221_49_1989_+
4003 scaffold_2 1205074 1205094 + JGI_V11_233049 1192328 1208032 + 605.65759614207 scaffold_1222_1041_2394_+
4006 scaffold_2 1289382 1289449 + JGI_V11_303150 1289107 1297347 + 242.555426656011 scaffold_1223_5760_7343_-
4007 scaffold_2 1297063 1297160 + JGI_V11_303150 1289107 1297347 + 497.624153085665 scaffold_12251_504_1478_-
4007.1 scaffold_2 1297063 1297160 + JGI_V11_310282 1296709 1299820 + 497.624153085665 scaffold_12251_504_1478_-
4008 scaffold_2 1312527 1312528 + JGI_V11_233069 1304730 1334803 + 53.9386089375976 scaffold_12256_12_1455_-
4009 scaffold_2 1324934 1324948 + JGI_V11_233069 1304730 1334803 + 730.76393581707 scaffold_12257_-229_1444_+
4010 scaffold_2 1348459 1348512 + JGI_V11_303155 1348045 1349450 + 666.613430794952 scaffold_1226_2028_3341_-
4011 scaffold_2 1349470 1349504 + JGI_V11_310287 1349276 1355996 + 90.2223532902478 scaffold_1226_2675_4214_-
4012 scaffold_2 1411168 1411199 + JGI_V11_310298 1397847 1417728 + 16.8984126395597 scaffold_1226_6687_7796_-
4013 scaffold_2 1466126 1466129 + JGI_V11_205771 1465763 1468521 + 15.6374061921657 scaffold_12266_-201_1436_+
4014 scaffold_2 1468351 1468401 + JGI_V11_205771 1465763 1468521 + 199.610612359595 scaffold_1227_2673_5034_-
4016 scaffold_2 1515891 1515896 + JGI_V11_220453 1514559 1516731 + 39.5139109813739 scaffold_1228_-385_1012_-
4017 scaffold_2 1517069 1517081 + JGI_V11_205778 1516684 1518863 + 55.1601958404104 scaffold_12282_-390_848_+
4020 scaffold_2 1535108 1535115 + JGI_V11_310310 1534560 1535894 + 212.410406345919 scaffold_1229_34_1584_+
4022 scaffold_2 1538773 1538782 + JGI_V11_303163 1538574 1542076 + 144.832545252937 scaffold_1229_9994_11570_-
4023 scaffold_2 1543079 1543088 + JGI_V11_303164 1542072 1545790 + 105.646811800597 scaffold_123_-274_904_-
4024 scaffold_2 1580625 1580643 + JGI_V11_303165 1580231 1582078 + 296.626743049391 scaffold_123_7062_9056_+
4025 scaffold_2 1602518 1602544 + JGI_V11_94846 1602208 1603559 + 97.996361537486 scaffold_123_10901_12856_-
4026 scaffold_2 1605891 1605907 + JGI_V11_40354 1605800 1609128 + 11.9603033561288 scaffold_123_15688_18372_-
4027 scaffold_2 1606155 1606161 + JGI_V11_40354 1605800 1609128 + 69.0452891156924 scaffold_123_20157_26136_-
